// 第1次校對：2021.12.18
// race-specific variables (must start with _)
_empire                           | 賽隆共和國, 美塔隆共和國, 西隆共和國, 塞里布隆共和國, 紐拉隆共和國
_race                             | 賽隆人, 美塔隆人, 西隆人, 塞里布隆人, 紐拉隆人
_race_plural                      | 賽隆人, 美塔隆人, 西隆人, 塞里布隆人, 紐拉隆人
_title                            | 最高議長
_nameTitle                        | 最高議長


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 賽隆人顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 最高議長，我們的飛船已經準備就緒。你認爲我們是否應該找到一個新世界，並儘快在那裏殖民呢？
MAIN_ADVISOR_TRANSPORT            | 我們的新殖民地已經建立。議會現在正在審議我們應該派多少人乘坐運輸船去那裏，如果我們需要派人的話。
MAIN_ADVISOR_DIPLOMACY            | 在太空深處，一個全新的文明出現了！我祈禱他們更喜歡和平共處而不是暴力相向。
MAIN_ADVISOR_SHIP_ENGINE          | 我們的科學家在我們的星艦引擎技術上一直保持着穩定的進步。代表們將在理事會面前就如何最好地使用它們提出建議。
MAIN_ADVISOR_RALLY_POINTS         | 不幸的是，共和國現在處於戰爭之中。議會必須決定我們艦隊的集結點，以確保我們的殖民者的安全。
MAIN_ADVISOR_MISSILE_BASES        | 相比於建造大規模艦隊，我們可以在我們的殖民地上建造防禦性導彈基地，以保護他們免受入侵。關於哪個星球最應該受到導彈基地的保護，議會想聽到你的想法。
MAIN_ADVISOR_SHIP_WEAPON          | 委員會正在就最新設計的艦船武器展開激烈辯論。有些人希望立即銷燬武器，但我們可能希望改變我們的船舶設計，以防不備。
MAIN_ADVISOR_COUNCIL              | 很快，銀河系最偉大和強大的種族將舉行一次歡樂的聚會。我們應該參加這個星際委員會，聆聽我們鄰居的智慧。
MAIN_ADVISOR_REBELLION            | %1的人口會選擇以這種方式處理分歧是令人困惑的。委員會不需要討論這個事件，他們已經允許你立即處理這個問題。
MAIN_ADVISOR_RESIST_COUNCIL       | 令我煩惱的是，我們付出了那麼多努力，卻還導致了這場戰爭。但如果唯一的選擇就是服從這個好戰的委員會，那我看不出我們的人民有其他選擇！
MAIN_ADVISOR_COUNCIL_RESISTED     | 看到別人如此強烈地拒絕和平，你難道不感到難過嗎？堅定你的決心，最高議長：這將是這個星系經歷的最後一場戰爭。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 共和國已是一片廢墟……#曾經，你的人民夢想着一個統一的銀河系，所有人能在繁榮中和平共處。但現實的殘酷真相已經清楚地表明，並非所有人都分享你的夢想。崇尚暴力的敵人擁有難以想象的力量，他們選擇了暴力征服。他們操縱你的人民以阻止你的抵抗，他們的戰爭機器發出一個個致命打擊，直到你再也沒有反抗的可能。#戰爭的浪潮襲來，軍隊在共和國最後的堡壘進行最後的決戰。如果你的人民選擇在軍事實力上匹配對手們，你的命運會有所不同嗎？當你的敵人攻破你堡壘的入口時，你嚴肅地意識到，你永遠不會知道問題的答案了……
GAME_OVER_MILITARY_WIN2           | 和平以沉重的代價實現了……#爲了實現共和國的夢想，你們付出了可怕的代價。當你的鄰居變得暴力和不願妥協時，你被迫在你人民的安全和毀滅之間做出選擇。在參議院的無數次辯論後，你做出了一個可怕的決定：將你的艦隊投入戰爭的烈火中，並祈禱你的人民能夠倖存下來。結果是苦樂參半的：雖然你們的人民取得了勝利，但代價是銀河系中所有其他智慧生命的犧牲。#隨着最後的炮火聲在寂靜的太空中迴盪，一片寂靜籠罩着銀河系，屬於新時代的和平即將開始。散佈於無數世界的賽隆共和國的人民，在這最後的大戰結束時共同仰望天空，卻聽不到歡呼聲。在這個時刻，巨大的悲傷籠罩着你的心，因爲你意識到：雖然銀河系將永遠不會再知道戰爭的恐怖，但也不會知道生命多樣性的喜悅了……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 和平以沉重的代價實現了……#當你的人民將你的和平願景傳播到整個銀河系時，你遇到了許多種族，他們傾聽你的外交官帶給他們的信息。雖然有些人以欺騙和暴力對待你的建議，但也有認真傾聽並及時分享你意見的人。劃清界限後，那些聽到你號召的人選擇在這場戰鬥中成爲你的盟友，你們一起經歷了一場戰爭。雖然你的人民被迫違揹他們最神聖和最珍視的原則，但你們最終還是取得了勝利，現在你的盟友可以分享只有和平才能帶來的繁榮果實。#雖然在奪取和平的過程中會有巨大的悲痛，許多生命和生機勃勃的文明被抹去，但你心裏知道有必要到達你人民歷史的最後一章：這個銀河系的最後一場大戰已經結束，和平可以降臨。然而，這種和平能否永久持續，取決於你一路上獲得的盟友的決心……
GAME_OVER_COUNCIL_LOSS2           | 和平終於實現了……#對你決心的真正考驗出現了。銀河委員會已經表明了它的意願，儘管你堅定不移地希望和平成爲銀河系的指導力量，但新共和國的主人終究不會是賽隆。儘管議事廳內進行了激烈的辯論，但你們最終還是達成了一致。你們選擇將統治權讓給[leader_empire]。但是你與這個帝國的所有交往都向你表明他們是一個危險的種族。毫無疑問，新共和國的領導人只會在符合他們目標的情況下維持和平。#如果戰爭來了，共和國該怎麼辦？如果它的存在不再符合它現在服從的帝國的設計，它又該怎麼辦？那將是你的人民未來需要經歷的道路，你現在做出的決定，要麼成爲通向夢想中永久和平的判斷，要麼成爲註定了塞隆人最終命運的錯誤……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 和平實現了，雖然不是你想要的方式……#星際委員會投票反對你作爲他們的領導者，這個決定並沒有讓賽隆人中開心。幸運的是，你足夠明智地預見到了這個結果，並巧妙地避免了比現在更糟糕的情況：你的盟友[leader_race]種族現在將決定整個銀河系的未來。#在新共和國的太陽升起的第一天，你感受到了勝利的喜悅，這是一個你縱橫捭闔之後得到的結果。你的盟友已經證明自己有足夠的智慧來完成這項任務，雖然沒有人能像你的人民一樣熱愛和平。但出於某種原因，你可以相信%8，他們會讓你的最終目標得以實現……
GAME_OVER_REBELLION_LOSS2         | 共和國已是一片廢墟……#似乎從你的旅程開始命運就在阻止你。維持一個太空帝國是困難的，處理外星力量的戰爭威脅也是困難的。當星際委員會選擇好戰的[leader_race]種族作爲領導者時，你意識到新共和國有了一個全新的主人。銀河系無法在這樣的暴力種族下維持和平，他們只會把銀河系帶向一場暴力的不歸路。#你們的人民擁有任何其他物種無法比擬的智慧，並能夠發明奇妙和致命的技術來幫助他們進行戰爭。然而，新共和國的綜合實力讓你無法對抗，最終你的艦隊燃燒殆盡。事實證明，強大的數量不僅僅與卓越技術匹配。現在，隨着命運之輪進行最後的轉動，賽隆共和國的遺蹟即將從銀河系中消失。作爲即將到來的衆多戰爭的第一個受害者，你知道：如果沒有你的人民引導銀河系，人們不太可能知道真正的和平可以帶來的好處……
