// race-specific variables (must start with _)
_empire                           | Darlok, Sarlok, Spylok, Šadelok, Nazlok
_empire_lowercase                 | Darlok, Sarlok, Spylok, Šadelok, Nazlok

_race                             | Darlokan, Sarlokan, Spylokan, Šadelokan, Nazlokan
_race_plural                      | Darlokani, Sarlokani, Spylokani, Šadelokani, Nazlokani
_race_akuzativ					| Darlokanov, Sarlokanov, Spylokanov, Šadelokanov
_race_dativ						| Darlokanom, Sarlokanom, Spylokanom, Šadelokanom
_race_instrumental				| Darlokanmi, Sarlokanmi, Spylokanmi, Šadelokanmi
_race_adjective					| Darlokská, Sarlokská Spylokská, Šadelokská
_race_adjective_akuzativ		| darlokského, sarlokského, spylokského, šadelokského
_race_adjective_instrumental	| darlokskými, sarlokskými, spylokskými, šadelokskými 

_title                            | Cisár
_nameTitle                        | Cisár


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Radca Darlokov
MAIN_ADVISOR_BUTTON_OK            | OK
MAIN_ADVISOR_SCOUT                | Dokončili sme stavbu dvojice prieskumníkov a koloniálnej lode. Dúfajme, že odpovede, ktoré hľadáme, sa objavia na blízkom svete.
MAIN_ADVISOR_TRANSPORT            | Na planéte v systéme %1 neboli nájdené žiadne odpovede. Mali by sme tam navýšiť naše počty vyslaním všetkých voľných transportov.
MAIN_ADVISOR_DIPLOMACY            | Ozvali sa zástupcovia národa, ktorý pochádza z tejto dimenzie. Musíme urobiť všetko, čo je v našich silách, aby sme sa od nich dozvedeli čo najviac.
MAIN_ADVISOR_SHIP_ENGINE          | Objavili sme spôsob, ako vyrábať účinnejšie motory. Musíme dosiahnuť konsenzus o tom, ako najlepšie upraviť návrhy lodí, aby sme využili potenciál novej technológie.
MAIN_ADVISOR_RALLY_POINTS         | Prvý konflikt, skôr či neskôr to muselo nastať! Naše lodenice môžu nasmerovať svoje novopostavené lodena zhromaždiská na jednom svete. Tam môžme vytvoriť flotilu, ktorá nás bude brániť pred agresormi.
