// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 赛隆共和国, 美塔隆共和国, 西隆共和国, 塞里布隆共和国, 纽拉隆共和国
_race                             | 赛隆人, 美塔隆人, 西隆人, 塞里布隆人, 纽拉隆人
_race_plural                      | 赛隆人, 美塔隆人, 西隆人, 塞里布隆人, 纽拉隆人
_title                            | 最高议长
_nameTitle                        | 最高议长


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 赛隆人顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 最高议长，我们的飞船已经准备就绪。你认为我们是否应该找到一个新世界，并尽快在那里殖民呢？
MAIN_ADVISOR_TRANSPORT            | 我们的新殖民地已经建立。议会现在正在审议我们应该派多少人乘坐运输船去那里，如果我们需要派人的话。
MAIN_ADVISOR_DIPLOMACY            | 在太空深处，一个全新的文明出现了！我祈祷他们更喜欢和平共处而不是暴力相向。
MAIN_ADVISOR_SHIP_ENGINE          | 我们的科学家在我们的星舰引擎技术上一直保持着稳定的进步。代表们将在理事会面前就如何最好地使用它们提出建议。
MAIN_ADVISOR_RALLY_POINTS         | 不幸的是，共和国现在处于战争之中。议会必须决定我们舰队的集结点，以确保我们的殖民者的安全。
MAIN_ADVISOR_MISSILE_BASES        | 相比于建造大规模舰队，我们可以在我们的殖民地上建造防御性导弹基地，以保护他们免受入侵。关于哪个星球最应该受到导弹基地的保护，议会想听到你的想法。
MAIN_ADVISOR_SHIP_WEAPON          | 委员会正在就最新设计的舰船武器展开激烈辩论。有些人希望立即销毁武器，但我们可能希望改变我们的船舶设计，以防不备。
MAIN_ADVISOR_COUNCIL              | 很快，银河系最伟大和强大的种族将举行一次欢乐的聚会。我们应该参加这个星际委员会，聆听我们邻居的智慧。
MAIN_ADVISOR_REBELLION            | %1的人口会选择以这种方式处理分歧是令人困惑的。委员会不需要讨论这个事件，他们已经允许你立即处理这个问题。
MAIN_ADVISOR_RESIST_COUNCIL       | 令我烦恼的是，我们付出了那么多努力，却还导致了这场战争。但如果唯一的选择就是服从这个好战的委员会，那我看不出我们的人民有其他选择！
MAIN_ADVISOR_COUNCIL_RESISTED     | 看到别人如此强烈地拒绝和平，你难道不感到难过吗？坚定你的决心，最高议长：这将是这个星系经历的最后一场战争。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 共和国已是一片废墟……#曾经，你的人民梦想着一个统一的银河系，所有人能在繁荣中和平共处。但现实的残酷真相已经清楚地表明，并非所有人都分享你的梦想。崇尚暴力的敌人拥有难以想象的力量，他们选择了暴力征服。他们操纵你的人民以阻止你的抵抗，他们的战争机器发出一个个致命打击，直到你再也没有反抗的可能。#战争的浪潮袭来，军队在共和国最后的堡垒进行最后的决战。如果你的人民选择在军事实力上匹配对手们，你的命运会有所不同吗？当你的敌人攻破你堡垒的入口时，你严肃地意识到，你永远不会知道问题的答案了……
GAME_OVER_MILITARY_WIN2           | 和平以沉重的代价实现了……#为了实现共和国的梦想，你们付出了可怕的代价。当你的邻居变得暴力和不愿妥协时，你被迫在你人民的安全和毁灭之间做出选择。在参议院的无数次辩论后，你做出了一个可怕的决定：将你的舰队投入战争的烈火中，并祈祷你的人民能够幸存下来。结果是苦乐参半的：虽然你们的人民取得了胜利，但代价是银河系中所有其他智慧生命的牺牲。#随着最后的炮火声在寂静的太空中回荡，一片寂静笼罩着银河系，属于新时代的和平即将开始。散布于无数世界的赛隆共和国的人民，在这最后的大战结束时共同仰望天空，却听不到欢呼声。在这个时刻，巨大的悲伤笼罩着你的心，因为你意识到：虽然银河系将永远不会再知道战争的恐怖，但也不会知道生命多样性的喜悦了……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 和平以沉重的代价实现了……#当你的人民将你的和平愿景传播到整个银河系时，你遇到了许多种族，他们倾听你的外交官带给他们的信息。虽然有些人以欺骗和暴力对待你的建议，但也有认真倾听并及时分享你意见的人。划清界限后，那些听到你号召的人选择在这场战斗中成为你的盟友，你们一起经历了一场战争。虽然你的人民被迫违背他们最神圣和最珍视的原则，但你们最终还是取得了胜利，现在你的盟友可以分享只有和平才能带来的繁荣果实。#虽然在夺取和平的过程中会有巨大的悲痛，许多生命和生机勃勃的文明被抹去，但你心里知道有必要到达你人民历史的最后一章：这个银河系的最后一场大战已经结束，和平可以降临。然而，这种和平能否永久持续，取决于你一路上获得的盟友的决心……
GAME_OVER_COUNCIL_LOSS2           | 和平终于实现了……#对你决心的真正考验出现了。银河委员会已经表明了它的意愿，尽管你坚定不移地希望和平成为银河系的指导力量，但新共和国的主人终究不会是赛隆。尽管议事厅内进行了激烈的辩论，但你们最终还是达成了一致。你们选择将统治权让给[leader_empire]。但是你与这个帝国的所有交往都向你表明他们是一个危险的种族。毫无疑问，新共和国的领导人只会在符合他们目标的情况下维持和平。#如果战争来了，共和国该怎么办？如果它的存在不再符合它现在服从的帝国的设计，它又该怎么办？那将是你的人民未来需要经历的道路，你现在做出的决定，要么成为通向梦想中永久和平的判断，要么成为注定了塞隆人最终命运的错误……
