// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 猫族部落, 普山部落, 喵族部落, 爪族部落, 西山部落
_race                             | 猫族, 普山族, 喵族, 爪族, 西山族
_race_plural                      | 猫族, 普山族, 喵族, 爪族, 西山族
_title                            | 可汗
_nameTitle                        | 可汗

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 猫族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 啊哈！我们的第一批舰船已经准备就绪！让我们去探索一个充满宝藏的世界吧。
MAIN_ADVISOR_TRANSPORT            | 我们已经占领%1。我们从%3派遣的殖民者越多，就能越快找到这个新世界的宝藏。
MAIN_ADVISOR_DIPLOMACY            | 我们接触了一个新的外星种族！你认为他们会是强大的对手，还是待宰的羔羊呢？
MAIN_ADVISOR_SHIP_ENGINE          | 我们找到了一个改进引擎的方法，这会让我们的舰船飞得更快！如果我们把它加入新的舰船设计，我们对敌人的掠夺会更高效！
MAIN_ADVISOR_RALLY_POINTS         | 可汗！战争已降临！汗国会遵守他们团结在你周围的承诺，选定一个集结点吧，让舰船在那里集合！
MAIN_ADVISOR_MISSILE_BASES        | 我们控制中的边缘世界很容易遭到敌人攻击！让我们建造导弹基地，防止它们落入敌人之手。
MAIN_ADVISOR_SHIP_WEAPON          | 我们成功制造了适合舰船使用的强力武器。一旦我们将其纳入舰船设计，我们的敌人将会颤抖。
MAIN_ADVISOR_COUNCIL              | 很快就会召开一次集会，他们说这是为了外交而不是战争。是不是很奇怪呢？尽管如此，我们还是应该参加这个“星际委员会”，即使不是为了别的目的，那也是为了安抚其他愈发不安的帝国。
MAIN_ADVISOR_REBELLION            | 你感到不舒适吗，可汗？在%1星球发生了一次叛乱，你还没有下命令去镇压它呢。
MAIN_ADVISOR_RESIST_COUNCIL       | 他们以为我们会放弃，然后让整个宇宙获得弱者的和平吗？让我们开始进攻吧，可汗，我们的人民已经因为潜在的战利品而蠢蠢欲动了。
MAIN_ADVISOR_COUNCIL_RESISTED     | 这些反叛的蠢货拒绝我们的统治！让他们感受我们的箴言吧：弱肉强食！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你珍贵的宝藏将被人夺走……#汗国可怕的舰队那鬼魅般的进攻速度曾经让其他文明陷入恐惧。在你的鼎盛时期，你毁灭一个文明，并把它的财宝保存在包含了无数个世界珍宝的宝库中。但可能是因为愚蠢、傲慢或贪婪，又或者是上面所有这些因素的结合，你的人民终于碰到了一个自己无法挑战的对手。当他们被激怒时，你们毫无抵抗之力，只能等待命运结局的降临。#很久以前，猫族舰队的传闻就足以让一个星系陷入恐慌。而今，你们种族从这个宇宙中被抹除，你们只会存在于胜利者用来吓唬自己小孩子的鬼故事里。你那从无数个世界搜集的珍贵宝藏，已经被偷走，放在富贵之家或博物馆中，成为一个遥远过去的遗迹，就想你的种族一样……
