// race-specific variables (must start with _)
_empire                           | 翼族王国, 翼人王国, 鸟族王国, 羽族王国, 禽族王国
_race                             | 翼族, 翼人, 鸟族, 羽族, 禽族
_race_plural                      | 翼族, 翼人, 鸟族, 羽族, 禽族
_title                            | 尖塔王
_nameTitle                        | 尖塔王


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//
// 第1次校对：2021.12.14

// Advisor text
MAIN_ADVISOR_TITLE                | 翼族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 大人，我们的侦察机已经准备好了，请探索一个新的世界，然后用我们的殖民飞船将它纳入王国的光辉版图吧。
MAIN_ADVISOR_TRANSPORT            | 我们已经占领了一个新的世界，但它的发展速度太慢了。派遣殖民者到那里去吧，这会让它更快发展。
MAIN_ADVISOR_DIPLOMACY            | 另一个文明出现了！外交官会以您的名义行使外交礼仪，如果对方给出良好的回应，外交官会记录在案。
MAIN_ADVISOR_SHIP_ENGINE          | 科学家发明了一个新的更高效的引擎。他们希望你查看当前的飞船型号，并决定如何在我们的飞船里使用新引擎。
MAIN_ADVISOR_RALLY_POINTS         | 一个丑陋的种族向我们伟大的帝国发动了战争，和平年代受到了威胁。32个家族都站在您背后，只要您下命令，他们的舰队随时待命。
MAIN_ADVISOR_MISSILE_BASES        | 帝国舰队在外战斗，我们的殖民地可能会受到敌人进攻。我们可以在您指定的殖民地建造防御导弹基地了。
MAIN_ADVISOR_SHIP_WEAPON          | 研究者在舰载武器上有了新的突破。舰队可以随时装备这些致命的武器。
MAIN_ADVISOR_COUNCIL              | 星际委员会即将召开，众人期待我们的出席。我们的外交官会尽力保证委员会的决定符合我们王国的利益。
MAIN_ADVISOR_REBELLION            | 啊，%1星系发生了叛乱。真老套。我想这样的事情总会发生的。但大人，在叛乱席卷到其他殖民地前，我们仍然得把叛乱扑灭，
MAIN_ADVISOR_RESIST_COUNCIL       | 大人！我们与您同在！您理所应当占有最高王座！在那之前，宇宙不会享有和平！
MAIN_ADVISOR_COUNCIL_RESISTED     | 可悲极了。看看这些傻子，他们想要拒绝不可抗拒的命运？请下命令吧，命令我们摧毁这些反贼，我们一定会做到！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 即使在最黑暗的时刻，您仍然保留了您的荣誉……#翼族王国的结局已经到来，尽管您的人民能够在猩红千年的战争中克服难以言喻的恐怖，但在面对敌对帝国的野蛮人时，他们终于遇到了对手。您的人民勇敢地战斗，他们从您远古祖先那里继承了所有的勇气和荣誉。但对于他们和您，尖塔之王，故事已经结束了。#也许命运就应该如此结束：您的人民为他们的国王的荣誉和荣耀而战，而您的敌人利用任何他们可以使用的策略，无论多么粗鲁或不光彩。尽管您的敌人可能已经取得了胜利，但您的人民直到最后仍然英勇无畏，至少历史会在提到翼族的时候这么形容……
GAME_OVER_MILITARY_WIN2           | 荣耀归于尖塔之王！荣耀归于王国！#胜利属于你！那些弱小的对手想要阻止你不可避免的统治，他们根本无法与您舰队的威力和您人民的决心相抗衡！在一场又一场的战斗中，您巩固了作为翼族真正统治者的地位。再也没有人敢威胁您的帝国，您的人民再也不会怀疑您的神圣权力！#在征服您对手的同时，您也为您的人民提供了一条道路：他们可以为自己和家人赢得荣誉和晋升。随着这些路径的开放，自猩红千年结束以来一直困扰着翼族人的不稳定局面终于得到了纠正。但一旦您的人民占领了银河系的每个角落，不再有可以进攻的敌人，紧张局势再次出现。请准备好在那个时候征服其他星系吧，尖塔王，否则后果可能比这次威胁更可怕……
