// race-specific variables (must start with _)
_empire                           | Darloklar, Sarloklar, Casloklar, Karloklar, Nazloklar
_race                             | Darlok, Sarlok, Caslok, Karlok, Nazlok
_race_plural                      | Darloklar, Sarloklar, Casloklar, Karloklar, Nazloklar
_title                            | yönetici
_nameTitle                        |  


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Bir çift gözcü ve bir koloni gemisinin inşaatını bitirdik. Umalım ki aradığımız cevaplar kendilerini yakın bir dünyada sunsun.
MAIN_ADVISOR_TRANSPORT            | %1 gezegeninde hiçbir yanıt bulunamadı. Yine de oradaki sayımızı ayırabileceğimiz her türlü taşıyıcıyı göndererek büyütmeliyiz.
MAIN_ADVISOR_DIPLOMACY            | Bu düzlemin yerlisi bir halkın temsilcileri kendilerini tanıttılar. Sahip oldukları cevapları öğrenmek için elimizden gelen her şeyi yapmalıyız.
MAIN_ADVISOR_SHIP_ENGINE          | Daha verimli motorlar üretmenin bir yolunu keşfettik. Gemi tasarımlarımızı bu yeni teknolojiden istifade için en iyi nasıl güncelleyeceğimiz konusunda bir fikir birliğine varmalıyız.
MAIN_ADVISOR_RALLY_POINTS         | Kaçınılmaz bir çatışma başladı! Üretim tesislerimiz bizi saldırganlardan korumak için yeni inşa edilen gemilerini tek bir dünyada toplanıp bir filo oluşturmaya sevk edebilir.
MAIN_ADVISOR_MISSILE_BASES        | Bu evrene gelerek kaybettiklerimizden sonra artık daha fazla şey kaybedemeyiz: Kolonilerimizin yapabildikleri kadar çok savunma füze üssü inşa ederek kendilerini düşmanlardan korumasını sağla.
MAIN_ADVISOR_SHIP_WEAPON          | Yıldız gemilerimizin saldırı yeteneklerini geliştiren yeni bir teknoloji keşfettik. Bundan bir an önce faydalanmak için gemi tasarımlarımızı nasıl güncelleyeceğimize tekrar karar vermeliyiz.
MAIN_ADVISOR_COUNCIL              | Galaktik Konsey olarak bilinen bir toplantının yakında gerçekleşeceğine dair söylentiler var. Casuslarımız bunu, erişebildikleri her türlü istihbaratı toplamak için bir fırsat olarak kullanmayı umuyorlar. Irkımızın geleceği buna bağlı!
MAIN_ADVISOR_REBELLION            | %1 halkı aklını mı kaçırdı?! Bu evrende ancak birlikte galip gelebileceğimizi unutuyorlar! Derhal bu isyanı cezalandıralım da başkaları ibret alsın.
MAIN_ADVISOR_RESIST_COUNCIL       | Burada başarı şansımızın her zaman zayıf olduğu zaten biliniyordu. Galaktik Konsey'e ve müttefiklerine karşı savaşmak, şansımızı pek azaltmaz.
MAIN_ADVISOR_COUNCIL_RESISTED     | Bu aptalları kendi irademize boyun eğdirmek için çok uzun süre çalıştık! Liderliğimize isyan hoş görülemez! Onları bir an önce yok et!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
