// 第1次校對：2021.12.18
// race-specific variables (must start with _)
_empire                           | 貓族部落, 普山部落, 喵族部落, 爪族部落, 西山部落
_race                             | 貓族, 普山族, 喵族, 爪族, 西山族
_race_plural                      | 貓族, 普山族, 喵族, 爪族, 西山族
_title                            | 可汗
_nameTitle                        | 可汗

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 貓族顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 啊哈！我們的第一批艦船已經準備就緒！讓我們去探索一個充滿寶藏的世界吧。
MAIN_ADVISOR_TRANSPORT            | 我們已經佔領%1。我們從%3派遣的殖民者越多，就能越快找到這個新世界的寶藏。
MAIN_ADVISOR_DIPLOMACY            | 我們接觸了一個新的外星種族！你認爲他們會是強大的對手，還是待宰的羔羊呢？
MAIN_ADVISOR_SHIP_ENGINE          | 我們找到了一個改進引擎的方法，這會讓我們的艦船飛得更快！如果我們把它加入新的艦船設計，我們對敵人的掠奪會更高效！
MAIN_ADVISOR_RALLY_POINTS         | 可汗！戰爭已降臨！汗國會遵守他們團結在你周圍的承諾，選定一個集結點吧，讓艦船在那裏集合！
MAIN_ADVISOR_MISSILE_BASES        | 我們控制中的邊緣世界很容易遭到敵人攻擊！讓我們建造導彈基地，防止它們落入敵人之手。
MAIN_ADVISOR_SHIP_WEAPON          | 我們成功製造了適合艦船使用的強力武器。一旦我們將其納入艦船設計，我們的敵人將會顫抖。
MAIN_ADVISOR_COUNCIL              | 很快就會召開一次集會，他們說這是爲了外交而不是戰爭。是不是很奇怪呢？儘管如此，我們還是應該參加這個“星際委員會”，即使不是爲了別的目的，那也是爲了安撫其他愈發不安的帝國。
MAIN_ADVISOR_REBELLION            | 你感到不舒適嗎，可汗？在%1星球發生了一次叛亂，你還沒有下命令去鎮壓它呢。
MAIN_ADVISOR_RESIST_COUNCIL       | 他們以爲我們會放棄，然後讓整個宇宙獲得弱者的和平嗎？讓我們開始進攻吧，可汗，我們的人民已經因爲潛在的戰利品而蠢蠢欲動了。
MAIN_ADVISOR_COUNCIL_RESISTED     | 這些反叛的蠢貨拒絕我們的統治！讓他們感受我們的箴言吧：弱肉強食！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你珍貴的寶藏將被人奪走……#汗國可怕的艦隊那鬼魅般的進攻速度曾經讓其他文明陷入恐懼。在你的鼎盛時期，你毀滅一個文明，並把它的財寶保存在包含了無數個世界珍寶的寶庫中。但可能是因爲愚蠢、傲慢或貪婪，又或者是上面所有這些因素的結合，你的人民終於碰到了一個自己無法挑戰的對手。當他們被激怒時，你們毫無抵抗之力，只能等待命運結局的降臨。#很久以前，貓族艦隊的傳聞就足以讓一個星系陷入恐慌。而今，你們種族從這個宇宙中被抹除，你們只會存在於勝利者用來嚇唬自己小孩子的鬼故事裏。你那從無數個世界蒐集的珍貴寶藏，已經被偷走，放在富貴之家或博物館中，成爲一個遙遠過去的遺蹟，就想你的種族一樣……
GAME_OVER_MILITARY_WIN2           | 銀河系的寶藏將由你支配！#在這個夜晚，你們母星的整個地表都爆發出歡呼聲，慶祝你們至高無上的勝利。因爲這個夜晚是新時代的第一個夜晚，從今往後，只有貓族汗國統治着銀河系。一開始你們只是爲了戰利品和榮譽而戰，逐漸地，這變成了一場跨越無數行星、恆星和整個銀河系的大規模戰爭。面對所有的挑戰者，你破除了一切困難。敵人們在你的力量下陷入毀滅。#隨着弱小的敵人們一個個倒下，你的人民發現自己不再需要盟友。你已經佔領反對者們的最後一個據點，從今往後，你不再需要忍受無聊的政治糾葛和外交糾紛，整個銀河系的財富都等待着你。當銀河系已經在你的掌控之下，更深的深空中的敵人們將陷入恐懼。他們會因爲你的到來而顫抖，他們的財寶也將屬於你，不管付出任何代價……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 銀河系的寶藏將由你和你的盟友支配！#你的進攻終於產出了價值無限的豐厚的果實。從你最開始進行外交工作後，你就意識到：你那驕傲的文化傳統不可能與那些無力守護自己財富的弱者們共存。你知道戰爭是不可避免的。但令人驚訝的是，你不只在深空中發現了那些有能力捍衛自己財富的種族，你還想增加他們金庫裏的寶物數量。#你和你的盟友們發動了一場偉大的戰爭，若干年後人們也會提起這場傳奇的戰役。你們一起戰鬥，一起瓜分戰利品。隨着你們的敵人橫屍於你們通往未來的道路，你們只需要考慮如何分配那豐富的戰利品。但有一個提醒，黃金可汗：不管你的朋友在你身邊如何英勇地戰鬥，如果一個人天性就想要爭奪戰利品，當他們沒有敵人可以征服時，他們的眼睛會轉向自己的朋友……
GAME_OVER_COUNCIL_LOSS2           | 你的進攻、你的生活方式，來到了一個突然的終點……#對你們種族文化的最大威脅終於成爲了現實。經過了無數年的太空探索和征服後，組成這個銀河系的各個帝國決定放下過去的成見，併成立一個團結一致的政權，名爲“新共和國”。每一個新的時代都需要一個新的領導者，星際委員會也選擇了一個新的領導者來進入這個新時代。遺憾的是，他們並沒有選擇你。#儘管你在外交工作上竭盡所能，和諧共處並不是你們種族的生存法則。你們在過去製造了太多的襲擊，受害者的舊傷是你們在星際委員會上的污點。隨着各個國家的一體化，你不得不承認一個鐵一般的事實 ：你們對戰利品和軍功的追求永遠地結束了。你的人民必須適應這個新的時代，否則等待你們的只有滅亡……
GAME_OVER_REBELLION_LOSS2         | 你珍貴的寶藏將被人奪走……#你們掠奪這個擁有奇妙寶藏的銀河系的日子已經結束。隨着新共和國的形成，隨着銀河系在[leader_race]種族的旗幟下的統一，你知道如果你不反抗這個誤入歧途的新時代，你神聖的種族文化將註定要失敗。但是，無論是出於盲目服從他們的新主人，還是害怕貓族在整個銀河系贏得的聲望，沒有人加入你們的叛亂，你們獨自陷入苦戰。#你的對手們知道他們無法單獨與貓族的軍隊作戰並取得勝利，他們選擇集中資源和艦隊，並肩對抗你的叛亂。儘管你們以傳奇般的堅韌戰鬥着，在整個銀河系中激起了恐懼，但你們無法戰勝新共和國的聯合力量。現在你的叛亂以最不幸的方式結束，勝利者將瓜分屬於你們的寶藏……
GAME_OVER_REBELLION_WIN2          | 這個宇宙的寶藏將由你支配！#汗國的時代終於開始了。從你涉足未知星系的一開始，你就遇到了別的太空文明，他們在星海中尋找自己的目標。然而，儘管他們擁有先進的文化和技術，但現在所有人都在你和你無與倫比的力量面前倒下了。最初，你非常滿足於讓這些文明照常存在，爲你的人民提供無盡的寶藏來源。但是，當他們決定組建一個新的共和國，你的人民將不再能夠按照自己的方式生活時，你採取了唯一合適的迴應。#憑藉你的狡猾、技巧和堅韌，你對抗着新共和國的艦隊，最終，你對新銀河秩序的反抗以完全和徹底的勝利告終。無數世界的戰利品等待着你的攫取，因爲守衛他們的敵人已經被徹底消滅。去拿走這些寶物吧，黃金可汗！把他們添加到你的寶庫中，並讓你的人民做好準備，迎接位於遙遠星系中的戰利品……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 銀河系的寶藏將由你和你的盟友支配！#舉起旗幟反抗新共和國是一個簡單的決定。你知道銀河系很少考慮你的人民和他們的生活方式。你的軍事實力和你襲擊敵對帝國的的故事已經傳遍整個銀河系，你知道，一旦形成一個統一的共和國秩序，你會遭遇無法逾越的障礙。就像古代傳說中的真正領袖一樣，你的行動比其他人預料的要快，你選擇在公開戰爭中對抗新共和國。當你選擇反抗時，你沒有給他們準備的時間。#令你高興的是，你發現其他人也對新共和國的形式不滿意。爲了換取這部分人的支持，你建立了一個新的聯盟，許諾他們可以獲得一部分戰利品，讓他們抵抗你面對新共和國的力量。如今，你的對手已被徹底消滅，如果你的盟友對你不再有用，他們將毫無機會對抗你的力量。現在你需要做的，就是奪取你已經爲之奮鬥了那麼久的東西……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 至少在這個新時代，你的寶藏是安全的……#銀河委員會看不到你的偉大並拒絕授予你領導新共和國的權力，這讓任何人都感到震驚。你對其他帝國的進攻讓你的人民不受歡迎，很少有人願意接受你們的種族文化，真正去理解你的人民。但是，無論是因爲天真還是因爲你幫助了他們的事業，[leader_race]種族願意發現與你們之間的共同點。接受他們作爲未來的領導者，在你看來可能是對你們人民的最好的選擇。#因爲[leader_race]作爲盟友的慷慨，現在，你能夠確保你的戰利品是安全的。你無需向那些過去被你劫掠的人支付賠償金。在促成最終和平的過程中，你不情願地同意結束你的劫掠。你現在必須探索新的途徑來滿足你人民的慾望。但這肯定比選擇反抗你的盟友而面臨毀滅更好……
GAME_OVER_COUNCIL_WIN2            | 銀河系的寶藏將由你支配！#你們歷史上最偉大的一天終於到來了：黃金可汗成爲了新共和國的主人。從一開始，你們的人民就以暴力襲擊而聞名。儘管過去曾出現過許多次對你的抗議，但當銀河委員會認識到你不可逾越的力量時，所有的聲音都沉默了。當然，一些選舉你的帝國希望成爲你真正的朋友，但你知道，對你做出支持姿態的大多數人是因爲害怕你。而且你不會接受除了親自領導共和國之外的其他結果。#從今天起，新共和國的所有成員都將向你臣服。試圖在委員會中反對你的帝國，將承受他們罪行的惡果。當你選擇對他們發動攻擊時，他們將無法集合起必要的力量做出反抗。銀河系屬於貓族，它將永遠屬於你，直到時間的盡頭。新時代萬歲，黃金可汗萬歲！
GAME_OVER_COUNCIL_MILITARY_WIN2   | 銀河系的寶藏將由你和你的盟友支配！#現在你的輝煌統治可以真正開始了。你在戰場上的實力和你那令人膽寒的突襲，使你成爲新共和國的主人。但是，儘管許多人因爲害怕激起你的憤怒而選擇按照你的意志行事，但仍有一些人太過愚蠢，他們沒有在你力量面前動搖。你的人民懷着對叛亂者寶藏的嚮往，涌入了鎮壓叛亂的戰鬥中。這一次，你還得到了整個共和國聯合軍隊的支持。#在它真正開始之前，叛亂就結束了。反叛者的軍隊以最小的代價被擊敗。貓族奪取了他們的寶藏作爲自己的戰利品，並把不值錢的玩意兒扔給了爲你服務的小帝國。當你不高興時會發生什麼結果，反叛者成爲了一個案例，不會再有人膽敢效仿反叛者。你把注意力轉向了其他星系，因爲那裏還有着無數的獵物、以及可以加入你寶庫的珍貴寶藏……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你珍貴的寶藏將被人奪走……#雖然最初你能夠用恐懼來粉碎對手的異議併成爲新共和國的主人，但還是有一些勇敢的人站起來對抗你和你所設想的未來。你的人民驕傲而強大，裝飾着無數戰爭的紀念品，你們渴望從另一場征服中獲得更多的寶藏。但他們沒有或看不到叛亂所代表的危險，而叛亂者所表現出的堅定勇氣證明了你的失算：等待你們的是最終的結局。#儘管你的誇誇其談讓你能夠調動整個新共和國的軍隊，但你仍然無法阻止叛亂者將你從王位上推下臺。先是你的臣屬國倒下了，隨之而來的是你們自己。似乎銀河系最終選擇了一個沒有你們的未來。畢竟，一個人的意志即使再強大，也無法對抗命運的鐵腕……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 貓族對寶藏的渴望
GAME_OVER_REBELLION_LOSS3         | 貓族無法抑制的貪婪統治了
