// race-specific variables (must start with _)
_empire                           | Klakon Kovanı, Klakan Kovanı, Klokan Kovanı, Eklembacaklı Kovanı, Kınkanatlı Kovanı
_race                             | Klakon, Klakan, Klokan, Eklembacak, Kınkanat
_race_plural                      | Klakonlar, Klakanlar, Klokanlar, Eklembacaklar, Kınkanatlar
_title                            | yönetici
_nameTitle                        

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 0.02
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Sonunda gemilerim tamamlandı. Koloni gemimin ineceği yeni dünyalar bulmak için izcilerimi kullanmalıyım.
MAIN_ADVISOR_TRANSPORT            | Bu yeni dünyaya kuruldum ve onu genişletmek için evimden daha fazla şey göndermeliyim. Burada yeni bir hayat yok ve bu yüzden arayışım devam ediyor.
MAIN_ADVISOR_DIPLOMACY            | Sonunda yeni hayat! Sesler ve jestlerle iletişim kurmak için ne garip bir yaşam formu. Bir sonraki hamlemi yapmadan önce onlar hakkında bildiğim diplomatik ve istihbarî bilgileri düşünmeliyim.
MAIN_ADVISOR_SHIP_ENGINE          | Uzay aracı motorlarımdaki bu iyileştirme ile gelişmeye devam ediyorum. Filoma entegre etmek için gemi tasarımlarımı tekrar ziyaret etmeliyim.
MAIN_ADVISOR_RALLY_POINTS         | Neden bana saldırıyorlar? Anlamıyorum. Bunun neden olduğunu anlamaya çalışırken gemilerimin kendimi savunması için bir toplanma noktası seçmeliyim.
MAIN_ADVISOR_MISSILE_BASES        | Şimdi görüyorum ki, yaşamın tamamı işbirliğinin bereketini öğrenmemiş. Elimdekileri güvende tutmak için uç dünyalarımı füze üsleriyle güçlendirmeliyim.
MAIN_ADVISOR_SHIP_WEAPON          | İlerlemeye devam ediyorum ve yeni silah teknolojim, onları gemi tasarımlarıma entegre eder etmez bana daha fazla güç verecek.
MAIN_ADVISOR_COUNCIL              | Heyecan! Yakında birçok türün buluşması gerçekleşecek. Orada hangi yaşam formları toplanacak? Tanıdıklarım arasında kendimi daha iyi sunarsam, belki de yeni türlerle tanışmamı kolaylaştırırlar.
MAIN_ADVISOR_REBELLION            | Bu ne? %1 üzerinde kendi kontrolümü kaybettim. Ne olursa olsun, oraya gitmeli ve onlara kontrolün bende olduğumu göstermeliyim.
