// race-specific variables (must start with _)
_empire                           | 梅科拉自治領, 梅卡娜自治領, 賽博自治領, 數碼自治領, 科技自治領
_race                             | 梅科拉人, 梅卡娜人, 賽博人, 數碼人, 科技人
_race_plural                      | 梅科拉人, 梅卡娜人, 賽博人, 數碼人, 科技人
_title                            | 最高仲裁者
_nameTitle                        | 最高仲裁者

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// 第1次校對：2021.12.18


// Advisor text
MAIN_ADVISOR_TITLE                | 梅科拉顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 艦隊準備進行探索和殖民。等待指示中。
MAIN_ADVISOR_TRANSPORT            | 已立第1個殖民地。命名爲"%1"，可再容納%1人口，可從%3派遣殖民者。
MAIN_ADVISOR_DIPLOMACY            | 發現新物種。命名爲“[alien_race]”。等待來自主機的進一步指示。
MAIN_ADVISOR_SHIP_ENGINE          | 對高級推進裝置的研發已完成。請與工程師協商如何最好地部署新設計。
MAIN_ADVISOR_RALLY_POINTS         | 物種“[alien_race]”已開始阻止我們的永生探索。請創建集結點以集中艦隊，並對其進行打擊。
MAIN_ADVISOR_MISSILE_BASES        | 來自軍事部門的要求：在行星地表建造防禦性導彈基地，使其免受外部侵略。
MAIN_ADVISOR_SHIP_WEAPON          | 對高功率武器的研究已經完成。請與工程師協商如何部署新設計。
MAIN_ADVISOR_COUNCIL              | 星際帝國即將舉行會議，會議名爲“星際委員會”。代表會出席，確保主機的意志得以貫徹。
MAIN_ADVISOR_REBELLION            | 警告。惡意程序感染了%1。必須剷除其影響，以確保自治領的團結。
MAIN_ADVISOR_RESIST_COUNCIL       | 星際委員會的新領導人是對自治領目標的威脅。需動員一切力量消滅該領導人及其盟友。
MAIN_ADVISOR_COUNCIL_RESISTED     | 敵對物種發動叛亂。自治領已經統治已知星系。派遣所有艦隊，讓反對者噤聲。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
