// race-specific variables (must start with _)
_empire                           | Клакон рояк, Клакант рояк, Клокан рояк, Атртропон рояк, Колептерон рояк
_race                             | Клакон, Клакант, Клокан, Артропон, Колептерон
_race_plural                      | Клакони, Клаканти, Клокани, Артропани, Колептерони
_title                            | владетел
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Премахни
MAIN_ADVISOR_SCOUT                | Най-накрая моите кораби са завършени. Трябва да използвам моите разузнавачи, за да намеря нови светове, върху които да се приземи моят колониален кораб.
MAIN_ADVISOR_TRANSPORT            | Утвърдих се в този нов свят и трябва да изпратя още хора от родината си, за да го развия. Тук не срещам нов вид живот и затова търсенето ми продължава.
MAIN_ADVISOR_DIPLOMACY            | Най-накрая нов живот! Каква странна форма на живот намерих, която общува чрез шумове и жестове. Трябва да обмисля информацията за дипломацията и разузнаването, която знам за тях, преди да направя следващия си ход.
MAIN_ADVISOR_SHIP_ENGINE          | Продължавам да усъвършенствам моите двигатели на космически кораби. Трябва да посетя отново моите корабни проекти, за да ги интегрирам в моя флот.
MAIN_ADVISOR_RALLY_POINTS         | Защо ме нападат? Не разбирам. Трябва да избера точка за сбор на моите кораби, за да се защитя, докато се опитвам да разбера защо това се е случило.
MAIN_ADVISOR_MISSILE_BASES        | Сега виждам, че не всички форми на живот са се научили на благото на сътрудничеството. Трябва да укрепя външните си светове с ракетни бази, за да опазя земите си.
MAIN_ADVISOR_SHIP_WEAPON          | Продължавам да напредвам и новата ми оръжейна технология ще ми даде повече сила, веднага щом я интегрирам в моите корабни проекти.
MAIN_ADVISOR_COUNCIL              | Вълнение! Скоро ще се състои среща на много видове. Какви форми на живот ще бъдат събрани там? Ако се представя в по-добра светлина сред онези, които познавам, може би те ще улеснят запознанството ми с всеки нов вид.
MAIN_ADVISOR_REBELLION            | Какво е това? Загубих контрол над себе си в %1. Няма значение, трябва просто да отида там и да им покажа, че аз съм шефа.
MAIN_ADVISOR_RESIST_COUNCIL       | Невъзможно! Че е избран друг, който да управлява тези подмолни идиоти, докато моята мъдрост остава игнорирана! Но няма значение: веднага ще сложа край на всички тях! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Защо тези глупаци продължават да са толкова неприятни? Съветът е мой, галактиката е моя и сега те ще научат своето място в моето господство! 

MAIN_SCOUT_TITLE                  | Изследвам нова звездна система
MAIN_COLONIZE_TITLE               | В орбита съм на %1, неколонизирана система.
MAIN_COLONIZE_ANIMATION_TITLE     | В годината %1, формирах нова колония.
MAIN_ALERT_SPY_CAPTURED           | Залових шпионин от [alien_empire], и го принудих да си признае за деянията му %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Опитите ми да достигна %2 бяха спряни от защитаващите сили на [alien_race].
MAIN_ALERT_INVADERS_KILLED        | [alien_race] Транспорти нападащи %2 бяха изцяло унищожени от мен.
MAIN_BOMBARD_TITLE                | В орбита съм на вражеската [alien_race] колония.

TECH_RESEARCH_COMPUTER            | Трябва да избера следващата компютърна технология, върху която да се съсредоточа.
TECH_RESEARCH_CONSTRUCTION        | Трябва да избера следващата строителна технология, върху която да се съсредоточа.
TECH_RESEARCH_FORCE_FIELD         | Трябва да избера следващата технология на силовото поле, върху която да се съсредоточа.
TECH_RESEARCH_PLANETOLOGY         | Трябва да избера следващата планетарна технология, върху която да се съсредоточа.
TECH_RESEARCH_PROPULSION          | Трябва да избера следващата двигателна технология, върху която да се съсредоточа.
TECH_RESEARCH_WEAPON              | Трябва да избера следващата военна технология, върху която да се съсредоточа.
TECH_DISCOVERY_TITLE              | Постигнах %1 откритие
TECH_SCOUTED_TITLE                | Докато изследвам руините на %1, откривам нова технология
TECH_STOLEN_TITLE                 | Проникнах в %1 изследователски център  %2.
TECH_TRADED_TITLE                 | Придобих технология от учените на [alien_race] 
TECH_PLUNDERED_TITLE              | Докато ограбвам руините на %1, откривам нова технология
TECH_ALLOCATE_SHIELD              | Трябва ли да увелича защитните коефициенти на всичките си колонии, за да изградя новите планетни щитове?
TECH_ALLOCATE_MISSILE_BASES       | Трябва ли да увелича защитните коефициенти на всичките си колонии, за да подобря ракетните си бази?
TECH_ALLOCATE_FACTORIES           | Трябва ли да увелича индустриалните съотношения на всички мои колонии, за да подобря фабричния си контрол?
TECH_ALLOCATE_CLEAN_WASTE         | Трябва ли да намаля екологичните съотношения на всичките си колонии до минималното количество, необходимо за поддържането им в чистота?
TECH_ALLOCATE_ENRICH_SOIL         | Трябва ли да увелича съотношенията на екологията на моите колонии със стандартна среда, за да започна тераформирането на моите планети?
TECH_ALLOCATE_ATMOSPHERE          | Трябва ли да увелича съотношенията в екологията на моите колонии с враждебна среда, за да започна тераформирането на моите планети?
TECH_ALLOCATE_TERRAFORM           | Трябва ли да увелича екологичните съотношения на всичките си колонии, за да започна тераформирането на моите планети?

NOTICE_ESPIONAGE_TITLE            | Проникнах в база на [alien_race].
NOTICE_ESPIONAGE_FRAME_TITLE      | Успях да натопя друга раса за кражбата.

SHIP_COMBAT_TITLE_DESC            | Срещам враждебен флот на [alien_race].

SABOTAGE_FACTORIES_RESULT         | Унищожих %1 фабрики.
SABOTAGE_BASES_RESULT             | Унищожих %1 ракетни бази.
SABOTAGE_REBELS_RESULT            | Подбудих %1 бунтовници.
SABOTAGE_REBELS_TOTAL             | Подбудих %1 бунтовници. Тревога на %2%.
SABOTAGE_REBELS_REVOLT            | Аз предизвиках бунт!

COUNCIL_CAST_PROMPT               | Трябва да избера (%1 votes)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Срещна се с ужасяваща съдба.#В началото на вашето пътешествие в непознатото, вие се втурнахте в космоса с надеждата да намерите друга уникална форма на живот като вас. За съжаление мечтата ви остана нереализирана до последния ви ден. Не само, че другите интелигентни форми на живот, които открихте, се оказаха напълно различни от вас, но се показаха и бурни и несимпатични към вашите търсения. Това насилие се превърна в унищожение на вашата надежда и всичките ви светове сега са в ръцете на онези, които ви мразеха от момента на първата ви среща.#Всяко от вашите тела лежи счупено и безжизнено там, където е било убито, от вашия роден свят до вашите най-отдалечените бивши колонии. Докато светлината напуска очите ви, ви се струва, че Вселената е на път да загуби най-уникалната си форма на живот завинаги...
GAME_OVER_MILITARY_WIN2           | Търсенето ви приключва... за сега.#С големи надежди се осмелихте да мечтаете да намерите друго съзнание като вашето някъде в дълбините на космоса. Въпреки че сте срещнали много други форми на висш интелект, стана твърде очевидно, че нито една от тях не е подобна на уникалността, която вие сами притежавате. И още по-лошо: страхувайки се от това, което не са разбрали, те са ви нападнали, предизвиквайки най-ужасните отговори от вас. С тежко сърце ги убивате и с по-тежко сърце сега се оказвате единствената интелигентност, която обитава тази галактика.#И все пак всичко не е загубено. Въпреки че тези извънземни раси с техните уникални форми на себе си не са задоволили търсенето ви, сега осъзнавате, че има цяла вселена, която да изследвате. Всичко, което остава, е да се разпространите във всеки ъгъл на тази галактика и да започнете търсенето си отначало...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Търсенето ви приключва... за сега.#Изпълнени сте с печал заради мерките, които сте били принудени да извършите. Търсехте родство между планетите на тази галактика, вместо това сте се сблъскали изключително с множество невежи същества, които са ви нападали защото сте различни от тях. Когато думите им се превърнаха в насилствени действия, вие ги ударихте, за да защитите себе си и интересите си, надявайки се през цялото време, че те ще видят грешката на своите пътища и ще ви видят като уникалната форма на живот, каквато сте. Надеждите ти в крайна сметка бяха провалени и всички, които те посрещнаха с насилие, бяха утихнати завинаги. Въпреки че не успяхте да намерите съзнание, подобно на вашето, успяхте да създадете доверени съюзници преди пътуването ви да приключи. Да се надяваме, че поне те гледат със същото приятелство, което изпитваш към тях. Ако копнежът да разберете дали наистина сте уникален във Вселената отново удари, можете да се отправите към други галактики, когато пожелаете. Но засега можете да се отпуснете и да се насладите на това чувство за приятелство, което сте намерили, и да се насладите на всички предимства, които това несъмнено ще донесе.
GAME_OVER_COUNCIL_LOSS2           | Търсенето ви приключва...#Това не беше краят, който искахте в стремежа си за приятелство през морето от звезди. Въпреки че сте срещнали много странни и чудни народи в търсенето си, срещнали сте и много гнусни и зли култури. Уви, че най-непоносимият, с когото сте се сблъсквали, сега е господар на новата република. Съмнявате се, че този нов лидер ще бъде благосклонен към вас и всички доказателства, от които се нуждаете за този страх, произтичат от минали отношения, които сте имали с този извънземен лидер. Сега можете да чакате само в подчинение на петите на по-голяма сила. Вие се молите само% 5 да ви остави в мир, защото ако те изберат, цялата сила на галактиката ще бъде повдигната срещу вас...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Търсенето ви приключва... за сега.#Нова ера за Клакон ще започне и вашите доверени приятели,%5, сега са готови да поведат Новата република напред в славно бъдеще. Въпреки че за разлика от вас в много отношения, вашите приятели ви гледат с интерес и състрадание, вие им се доверявате, за да ви позволят да продължите в търсенето си, след като работата по този нов съюз бъде завършена. За да се постигне хармонично съжителство, ще е необходимо много, но знаете, че%8 ще го направи.#При този резултат можете да почувствате само удовлетворение. Така или иначе никога не сте се интересували от тънкостите на политическите маневри и се радвате, че вашият приятел ще поеме такава тежест от раменете ви завинаги. Всичко, което си пожела, беше да намериш душа като твоята някъде в тази галактика. Може би един ден ще я намериш...
GAME_OVER_REBELLION_LOSS2         | Срещна се с ужасяваща съдба.#Вие бяхте сами в началото си, и в края все още сте сами. Неспособни да постигнете крайната цел на вашето търсене, вие минахте от срещата с една странна цивилизация до следващата, докато тези с по-голяма мъдрост, отколкото сте се очаквали, са образували Новата република. Усещайки, че търсенето ви ще достигне преждевременен край, тъй като%5 пое лидерството, вие избрахте да се борите срещу тази съдба, а не кротко да се подчинявате на нея. Това не беше първата грешка, която допуснахте по време на пътуването си, но за съжаление се оказа вашата последна.#Сега, като%8 галактика, вие мълчаливо си мислите в последните си мигове, че поне в смъртта, вашите притеснения ще приключат. Ако само можеше да намериш друг като теб или поне такъв, който разбира кой и какъв си, може би съдбата ти щеше да се промени, когато и двамата сте се хванали за оръжие заедно...
GAME_OVER_REBELLION_WIN2          | Търсенето ви приключва... за сега.#Въпреки най-дълбоките ви желания, галактиката се понесе срещу вас и ви е принудила да отвърнете. Неспособни да приемете решението на ксенофобския%5, вие взехте оръжията сами, за да защитите себе си и търсенето си от ужасното им управление. Знаете, че онези, които са били манипулирани от тези двулични тирани, вероятно ще застанат срещу вас, но продължаването на вашето търсене не може да бъде застрашено при никакви обстоятелства. Така че с тъга в сърцето си сте смазали всички, които биха ви се противопоставили.#Ако някоя от тези раси не беше отдадена на страха и омразата си към непознатото, може би щяха да могат да живеят с вас в мирно съжителство. Но това не е съвсем трагично състояние на нещата, поне ще имате мъчителна история, която да споделите с този, който е обект на вашето търсене, ако някога успеете да ги намерите...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Търсенето ви приключва... за сега.#Знаехте, че това ще се случи още от първото заседание на Галактическия съвет. Въпреки вашите предупреждения към останалите империи, обитавали галактиката, предателският и гнусен%5 успя да поеме кормилото на Новата република и заплаши да зарази галактиката с тяхната гнусна ксенофобия. Смело се бихте срещу тях и въпреки че мнозина в галактиката решиха да хвърлят своя дял срещу вас, в крайна сметка успяхте да защитите интересите си успешно.#Може би най-полезна от всички беше подкрепата, която получихте от вашите приятели в тази последна война. Достатъчно мъдър, за да видите опасността и състрадателен, за да ви помогнат, бяхте щастливи, че не сте участвали сами в тази битка. Сега можете да постигнете наистина спокойно съжителство и да споделите заедно щедростта на тази галактика. Един ден скоро може да намерите пътя си в още по-дълбоко пространство и да напуснете галактиката с надеждата да срещнете тази, която сте търсили толкова много, много дълго ...
GAME_OVER_COUNCIL_WIN2            | Вашето търсене стигна до неочакван край.#Открихте много, откакто за първи път тръгнахте от древния си свят в търсене на друго съзнание като вашето. Въпреки че все още не сте изпълнили тази мечта, знанията и приятелството, които сте спечелили от тези, с които сте се сблъскали, се оказаха наистина сладка награда. Съюзниците ви не само са преодолели страха си от вашата уникалност, но са избрали да ви изберат за господар на новата република. Бъдеще, което никога не сте си представяли за себе си, е пред вас и вие ще въведете новите си приятели в него с цялото търпение и доверие, което те са ви показали.#Може би един ден отново ще започнете да търсите, за да намерите някого друг, който съществува като вас. Засега обаче трябва да свършите много работа и търсенето ви ще трябва да изчака, докато тази работа бъде завършена. И когато приключи, може да откриете, че вашият първичен копнеж е силно намален. В крайна сметка за първи път от дългия си живот вече не сте сами.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Вашето търсене стигна до неочакван край.#Най-сетне вашите битки приключиха. След като заехте позицията на владетел на Новата република, бяхте успели да накарате всички висши форми на живот в тази галактика да седнат на масата на приятелството. Но, срещу вас се оформи ужасно неподготвен бунт. Създаден от ксенофобски страх за това, което сте. Те се стремят да ви свалят, не могат да проумеят нито дълбините на вашата еднозначна сила, нито яростта на съюзниците ви в защитата на републиката. Те са смазани и мир ще тече през галактиката като вода в океаните на многобройните светове, които сега наричате свои.#Тъй като териториите на бунтовниците са разделени между вас и вашите съюзници, умът ви преминава за кратко към търсенето, което ви изпрати от дома ви много отдавна. Вярно е, че никога не сте намерили обекта на вашето търсене и в много отношения оставате сами във Вселената. Но с радост осъзнавате, че със съюзниците, които сте направили по време на пътуването си, никога повече няма да сте истински сами.
