// race-specific variables (must start with _)
_empire                           | 翼族王國, 翼人王國, 鳥族王國, 羽族王國, 禽族王國
_race                             | 翼族, 翼人, 鳥族, 羽族, 禽族
_race_plural                      | 翼族, 翼人, 鳥族, 羽族, 禽族
_title                            | 尖塔王
_nameTitle                        | 尖塔王


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//
// 第1次校對：2021.12.14

// Advisor text
MAIN_ADVISOR_TITLE                | 翼族顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 大人，我們的偵察機已經準備好了，請探索一個新的世界，然後用我們的殖民飛船將它納入王國的光輝版圖吧。
MAIN_ADVISOR_TRANSPORT            | 我們已經佔領了一個新的世界，但它的發展速度太慢了。派遣殖民者到那裏去吧，這會讓它更快發展。
MAIN_ADVISOR_DIPLOMACY            | 另一個文明出現了！外交官會以您的名義行使外交禮儀，如果對方給出良好的迴應，外交官會記錄在案。
MAIN_ADVISOR_SHIP_ENGINE          | 科學家發明了一個新的更高效的引擎。他們希望你查看當前的飛船型號，並決定如何在我們的飛船裏使用新引擎。
MAIN_ADVISOR_RALLY_POINTS         | 一個醜陋的種族向我們偉大的帝國發動了戰爭，和平年代受到了威脅。32個家族都站在您背後，只要您下命令，他們的艦隊隨時待命。
MAIN_ADVISOR_MISSILE_BASES        | 帝國艦隊在外戰鬥，我們的殖民地可能會受到敵人進攻。我們可以在您指定的殖民地建造防禦導彈基地了。
MAIN_ADVISOR_SHIP_WEAPON          | 研究者在艦載武器上有了新的突破。艦隊可以隨時裝備這些致命的武器。
MAIN_ADVISOR_COUNCIL              | 星際委員會即將召開，衆人期待我們的出席。我們的外交官會盡力保證委員會的決定符合我們王國的利益。
MAIN_ADVISOR_REBELLION            | 啊，%1星系發生了叛亂。真老套。我想這樣的事情總會發生的。但大人，在叛亂席捲到其他殖民地前，我們仍然得把叛亂撲滅，
MAIN_ADVISOR_RESIST_COUNCIL       | 大人！我們與您同在！您理所應當佔有最高王座！在那之前，宇宙不會享有和平！
MAIN_ADVISOR_COUNCIL_RESISTED     | 可悲極了。看看這些傻子，他們想要拒絕不可抗拒的命運？請下命令吧，命令我們摧毀這些反賊，我們一定會做到！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 即使在最黑暗的時刻，您仍然保留了您的榮譽……#翼族王國的結局已經到來，儘管您的人民能夠在猩紅千年的戰爭中克服難以言喻的恐怖，但在面對敵對帝國的野蠻人時，他們終於遇到了對手。您的人民勇敢地戰鬥，他們從您遠古祖先那裏繼承了所有的勇氣和榮譽。但對於他們和您，尖塔之王，故事已經結束了。#也許命運就應該如此結束：您的人民爲他們的國王的榮譽和榮耀而戰，而您的敵人利用任何他們可以使用的策略，無論多麼粗魯或不光彩。儘管您的敵人可能已經取得了勝利，但您的人民直到最後仍然英勇無畏，至少歷史會在提到翼族的時候這麼形容……
GAME_OVER_MILITARY_WIN2           | 榮耀歸於尖塔之王！榮耀歸於王國！#勝利屬於你！那些弱小的對手想要阻止你不可避免的統治，他們根本無法與您艦隊的威力和您人民的決心相抗衡！在一場又一場的戰鬥中，您鞏固了作爲翼族真正統治者的地位。再也沒有人敢威脅您的帝國，您的人民再也不會懷疑您的神聖權力！#在征服您對手的同時，您也爲您的人民提供了一條道路：他們可以爲自己和家人贏得榮譽和晉升。隨着這些路徑的開放，自猩紅千年結束以來一直困擾着翼族人的不穩定局面終於得到了糾正。但一旦您的人民佔領了銀河系的每個角落，不再有可以進攻的敵人，緊張局勢再次出現。請準備好在那個時候征服其他星系吧，尖塔王，否則後果可能比這次威脅更可怕……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 榮耀歸於您和那些與您並肩作戰的人！#您的榮譽不再受到質疑！作爲翼族王國的尖塔王，您將您的人民引導到前所未見的外星世界，並將這些世界收入您的帝國版圖中。您結成聯盟，管理星際貿易，並對那些試圖損害您崇高主權的人發動戰爭。當最後的戰爭開始，銀河系分裂成您的盟友和與您的敵人時，您引導您的軍隊取得勝利，並向您的人民和您的盟友展示了無與倫比的優雅和高貴。#終局已經成爲過去，因爲這個宇宙中沒有人會舉起武器反對您。您和您的盟友將享受無人膽敢染指的戰利品。未來的文化交流有望讓所有人的生活大大豐富。願和平統治長久，願您的統治更長久，哦，高貴而睿智的尖塔之王！
