// race-specific variables (must start with _)
_empire                           | i Nazlokiani, i Sarlokiani, gli Spailokiani, gli Shadelokini, i Nazlokiani
_empireof                         | dei Nazlokiani, dei Sarlokiani, degli Spailokiani, degli Shadelokini, dei Nazlokiani
_raceadjec                        | Nazlokiano , Sarlokiano, Spailokiano, Shadelokiano, Nazlokiano
_raceadjecF                       | Nazlokiana , Sarlokiana, Spailokiana, Shadelokiana, Nazlokiana
_race_pluralnoun                  | i Nazlokiani, i Sarlokiani, gli Spailokiani, gli Shadelokiani, i Nazlokiani
_race_pluralnounF                 | le Nazlokiane, le Sarlokiane, le Spailokiane, le Shadelokiane, le Nazlokiane
_race_pluralnounof                | dei Nazlokiani dei Sarlokiani, degli Spailokiani, degli Shadelokiani, dei Nazlokiani
_race_pluralnounto                | ai Nazlokiani, ai Sarlokiani, agli Spailokiani, agli Shadelokiani, ai Nazlokiani
_race_pluraladjec                 | Nazlokiani, Sarlokiani, Spailokiani, Shadelokiani, Nazlokiani
_race_pluraladjecF                | Nazlokiane, Sarlokiane, Spailokiane, Shadelokiane, Nazlokiane
_title                            | Sovrano
_nameTitle                        | 



//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Consulente %1
MAIN_ADVISOR_BUTTON_OK            | Congenga
MAIN_ADVISOR_SCOUT                | Abbiamo terminato la costruzione di un paio di esploratori e di una nave colonia. Speriamo che le risposte che cerchiamo si presentino in un mondo vicino.
MAIN_ADVISOR_TRANSPORT            | Nessuna risposta trovata sul pianeta %1. Dovremmo ancora aumentare i nostri numeri inviando qualsiasi mezzo di trasporto che possiamo risparmiare.
MAIN_ADVISOR_DIPLOMACY            | I rappresentanti di un popolo originario di questo piano si sono fatti conoscere. Dobbiamo fare tutto il possibile per imparare tutte le risposte che possiedono.
MAIN_ADVISOR_SHIP_ENGINE          | Abbiamo scoperto un modo per produrre motori più efficienti. Dobbiamo raggiungere un consenso su come aggiornare al meglio i nostri progetti di navi per utilizzare questa nuova tecnologia.
MAIN_ADVISOR_RALLY_POINTS         | È iniziato un conflitto inevitabile! I nostri impianti di produzione possono dirigere le loro navi di nuova costruzione a radunarsi in un unico mondo e formare una flotta lì per difenderci dagli aggressori.
MAIN_ADVISOR_MISSILE_BASES        | Abbiamo perso troppo venendo in questo universo per perderne ancora di più: fate in modo che le nostre colonie si proteggano dai nemici costruendo quante più basi missilistiche difensive possibile.
