// race-specific variables (must start with _)
_empire                           | Cuibul Klackon, Cuibul Klackant, Cuibul Klockan, Cuibul Arthropon, Cuibul Coleopteron
_race                             | Klackon, Klackant, Klockan, Arthropon, Coleopteron
_race_plural                      | Klackoni, Klackanți, Klockanși, Arthroponși, Coleopteronși
_title                            | lider
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | În sfârșit, navele mele au fost construite. Trebuie să-mi folosesc cercetașii pentru a găsi noi lumi pe care să trimit navele mele coloniale.
MAIN_ADVISOR_TRANSPORT            | M-am stabilit pe această lume nouă și trebuie să trimit mai multe corpuri de acasă pentru a o dezvolta. Nu există viață nouă aici, așa că căutarea mea continuă.
MAIN_ADVISOR_DIPLOMACY            | Viață nouă în sfârșit! Ce formă de viață ciudată, care comunică prin zgomote și gesturi. Trebuie să mă gândesc la informațiile despre diplomație și inteligență pe care le cunosc despre ele înainte de a face următoarea mișcare.
MAIN_ADVISOR_SHIP_ENGINE          | Continui să mă îmbunătățesc cu acest rafinament al motoarelor mele spațiale. Trebuie să modific planurile navelor mele pentru a le integra în flota mea.
MAIN_ADVISOR_RALLY_POINTS         | De ce mă atacă? Nu înțeleg. Trebuie să aleg un punct de regrupare pentru navele mele, pentru a mă putea apăra, în timp ce încerc să înțeleg de ce s-a întâmplat asta.
MAIN_ADVISOR_MISSILE_BASES        | Văd acum că nu toată viața a învățat avantajul cooperării. Trebuie să-mi întăresc lumile exterioare cu baze de rachete pentru a-mi păstra achizițiile în siguranță.
MAIN_ADVISOR_SHIP_WEAPON          | Continui să avansez, iar noua mea tehnologie de arme îmi va oferi mai multă putere de îndată ce le voi integra în planurile navelor mele.
MAIN_ADVISOR_COUNCIL              | Entuziasm! În curând va avea loc o întâlnire a mai multor specii. Ce forme de viață vor fi adunate acolo? Dacă mă pun într-o lumină mai bună printre cei pe care îi cunosc, poate că aceștia îmi vor ușura eforturile diplomatice cu celelalte specii.
MAIN_ADVISOR_REBELLION            | Ce este asta? Mi-am pierdut controlul pe %1. Indiferent, trebuie pur și simplu să merg acolo și să le arăt că eu sunt cel care conduce.
MAIN_ADVISOR_RESIST_COUNCIL       | Imposibil! Altcineva a fost ales să conducă acești prostănaci, în timp ce înțelepciunea mea rămâne ignorată! Dar nu contează: le voi pune capăt imediat!
MAIN_ADVISOR_COUNCIL_RESISTED     | De ce proștii ăștia persistă să fie atât de neplăcuți? Consiliul este al meu, galaxia este a mea și acum vor învăța că locul lor este sub stăpânirea mea!

MAIN_SCOUT_TITLE                  | Explorez un Nou Sistem Solar.
MAIN_COLONIZE_TITLE               | Orbitez %1, un sistem necolonizat.
MAIN_COLONIZE_ANIMATION_TITLE     | În anul %1, formez o nouă colonie.
MAIN_ALERT_SPY_CAPTURED           | Am capturat un spion din [alien_empire], forțând-ul să mărturisească activitățile lui de %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Încercările mele de a ajunge la %2 au fost oprite de forțele de apărare [alien_race].
MAIN_ALERT_INVADERS_KILLED        | [alien_race] transporturile care încearcă să invadeze %2 au fost complet distruse de mine.
MAIN_BOMBARD_TITLE                | Orbitez o colonie inamică [alien_race].

TECH_RESEARCH_COMPUTER            | Trebuie să aleg următoarea tehnologie în domeniul calculatoarelor pe care să mă concentrez.
TECH_RESEARCH_CONSTRUCTION        | Trebuie să aleg următoarea tehnologie în domeniul construcției pe care să mă concentrez.
