// race-specific variables (must start with _)
_empire                           | Κυψέλη Κλαδέι, Κυψέλη Κλάκον, Κυψέλη Κλάκμερ, Κυψέλη Κλοκαν, Κυψέλη Αρθρ, Κυψέλη Κολεόπτ
_race                             | Κλαδέι, Κλάκον, Κλάκμερ, Κλοκαν, Αρθρ, Κολεόπτ
_race_plural                      | Κλαδέων, Κλάκον, Κλάκμερ, Κλοκαν, Αρθρ, Κολεόπτ
_title                            | Ηγέτης
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// Αλλαγές κειμένου/νοημάτων για την Ελληνική Μετάφραση: Βαγγέλης Σκούπρας

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Κλείσιμο
MAIN_ADVISOR_SCOUT                | Επιτέλους τα πλοία μου έχουν ολοκληρωθεί. Πρέπει να χρησιμοποιήσω τους ανιχνευτές μου για να βρω νέους κόσμους για να προσγειωθεί το πλοίο αποικίας μου.
MAIN_ADVISOR_TRANSPORT            | Έχω εγκατασταθεί σε αυτόν τον νέο κόσμο και πρέπει να στείλω περισσότερα από το σπίτι μου για να το επεκτείνω. Δεν υπάρχει νέα ζωή εδώ, και έτσι η αναζήτησή μου συνεχίζεται.
MAIN_ADVISOR_DIPLOMACY            | Επιτέλους νέα ζωή! Τι παράξενη μορφή ζωής είναι που επικοινωνούν με θορύβους και χειρονομίες. Πρέπει να μελετήσω τη διπλωματία και τις αναφορές πληροφοριών που διαθέτω πριν κάνω την επόμενη κίνησή μου.
MAIN_ADVISOR_SHIP_ENGINE          | Συνεχίζω να βελτιώνω με αυτή τη βελτίωση των κινητήρων μου τα διαστημικά σκάφη. Πρέπει να αναθεωρήσω τα σχέδια των πλοίων μου και να τα ενσωματώσω στον στόλο μου.
MAIN_ADVISOR_RALLY_POINTS         | Γιατί μου επιτίθενται; Δεν καταλαβαίνω. Πρέπει να επιλέξω ένα σημείο συγκέντρωσης για τα πλοία μου ώστε να υπερασπιστώ τον εαυτό μου, ενώ προσπαθώ να καταλάβω γιατί συνέβη αυτό.
MAIN_ADVISOR_MISSILE_BASES        | Βλέπω τώρα ότι δεν έχει μάθει όλη η ζωή το όφελος της συνεργασίας. Πρέπει να οχυρώσω τους εξωτερικούς μου κόσμους με βάσεις πυραύλων για να διατηρήσω τα αποκτήματα μου ασφαλή.
MAIN_ADVISOR_SHIP_WEAPON          | Συνεχίζω να προχωράω, και η νέα μου τεχνολογία όπλων θα μου δώσει περισσότερη δύναμη μόλις τα ενσωματώσω στα σχέδια των πλοίων μου.
MAIN_ADVISOR_COUNCIL              | Ενθουσιασμός! Σύντομα θα πραγματοποιηθεί συνάντηση πολλών ειδών. Ποιες μορφές ζωής θα συγκεντρωθούν εκεί; Εάν βάλω τον εαυτό μου σε καλύτερη γνώμη μεταξύ αυτών που γνωρίζω, ίσως διευκολύνουν την σύσταση μου σε οποιοδήποτε νέο είδος.
MAIN_ADVISOR_REBELLION            | Τι είναι αυτό? Έχω χάσει τον έλεγχο του εαυτού μου στο σύστημα %1. Δεν έχει σημασία, πρέπει απλά να πάω εκεί και να τους δείξω ότι είμαι ο υπεύθυνος.
