// race-specific variables (must start with _)
_empire                           | Klackonský úľ, Klackantský úľ, Klockanský úľ, Arthroponský úľ, Koleopteronský úľ
_empire_lowercase				| Klackonský úľ, Klackantský úľ, Klockanský úľ, Arthroponský úľ, Koleopteronský úľ	
_race                             | Klackon, Klackant, Klockan, Arthropon, Koleopteron
_race_plural                      | Klackoni, Klackanti, Klockani, Arthroponi, Koleopteroni
_race_akuzativ					  | Klackonov, Klackantov, Klockanov, Arthroponov, Koleopteronov
_race_dativ  					  | Klackonom, Klackantom, Klockanom, Arthroponom, Koleopteronom 
_race_instrumental				  | Klackonmi, Klackantami, Klockanmi, Arthroponmi, Koleopteronmi
_race_adjective					  | Klackonská, Klackantská, Klockanská, Arthroponská, Koleopteronská
_race_adjective_akuzativ		  | klackonského, klackantského, klockanského, arthroponského, koleopteronského
_race_adjective_instrumental	  | klackonskými, klackantskými, klockanskými, arthroponskými, koleopteronskými

_title                            | Ja
_nameTitle                        | Ja

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | OK
MAIN_ADVISOR_SCOUT                | Lode sú konečne hotové. Musím navigovať  prieskumníkov, aby som našiel nové svety, na ktorých by mohla pristáť moja koloniálna loď.
MAIN_ADVISOR_TRANSPORT            | Usadil som sa na tomto novom svete a musím poslať ďalších z domova, aby som ho zveladil. Iná inteligentná forma života tu nie je. Moje hľadanie tak pokračuje.
MAIN_ADVISOR_DIPLOMACY            | Inteligentná forma života! Aká zvláštna. Komunikovuje pomocou zvukov a gest. Musím sa zamyslieť nad informáciami z diplomacie a spravodajstva, ktoré o nich mám, kým sa rozhodnem pre ďalší krok.
MAIN_ADVISOR_SHIP_ENGINE          | Pokračujem v zdokonaľovaní motorov svojich lodí. Potrebujem upraviť návrhy lodí, aby som ich mohol začať nasadzovať do služby.
