// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 蜥蜴王国, 爬行王国, 索拉王国, 拉普托王国, 提拉那王国
_race                             | 蜥蜴族, 爬行族, 索拉族, 拉普托拉族, 提拉那族
_race_plural                      | 蜥蜴族, 爬行族, 索拉族, 拉普托拉族, 提拉那族
_title                            | 最高长官
_nameTitle                        | 最高长官

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 蜥蜴族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 终于，我们可以净化其他世界的环境了。最高长官，请尽快派遣侦察机和殖民飞船去附近的星球吧！
MAIN_ADVISOR_TRANSPORT            | 我们终于在一个新的世界创造了第一个殖民地。只要您派遣一个运输机，我们就可以增加%1的人口数量，并尽快发现当地的秘密！
MAIN_ADVISOR_DIPLOMACY            | 另一个掌握了星际旅行技术的种族与我们取得了联系。让我们与他们对话，看看他们如何治理他们的星球。然后我们会知道如何与他们打交道。
MAIN_ADVISOR_SHIP_ENGINE          | 我们已经设计了一个比当前所有的引擎都更高效的引擎。让我们尽快设计出新的舰船方案吧。
MAIN_ADVISOR_RALLY_POINTS         | 我们的邻居似乎对我们不太……满意。我们可以使用集结点把我们的飞船聚集在一个固定的地方，防止我们美丽的新世界受到伤害。
MAIN_ADVISOR_MISSILE_BASES        | 需要用这种方式破坏我们的世界让我很难受，但我们可以考虑分配一部分空间给导弹基地，以防止我们的世界受到更可怕的伤害。
MAIN_ADVISOR_SHIP_WEAPON          | 我们发明了一个新的破坏敌舰的技术。我们绝对应该将这项技术应用于我们未来生产的任何新飞船。
MAIN_ADVISOR_COUNCIL              | 有一个名为“星际委员会”的会议即将举行，所有先进文明都可能参加。这是一个机会，让我们看看还有哪些其他帝国会反对……王国的扩张。
MAIN_ADVISOR_REBELLION            | 最高长官！%1发生了一场叛乱。我不知道原因是什么，但我知道该怎么解决它。
MAIN_ADVISOR_RESIST_COUNCIL       | 我们不可能接受这个事情，对吧？我们现在要和议会战斗，对吧？！如果我们不去战斗的话，想想那些可怜的星球会发生什么！
MAIN_ADVISOR_COUNCIL_RESISTED     | 这些恶心的叛贼！我们勉强让他们苟活，现在他们却想着反抗？下命令让我们消灭他们吧！他们的世界等着我们去占领！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 所有世界的命运都已终结……#你曾经是散落在银河系的无数行星的希望。从你的家园出发，你唯一关心的就是了解和完善每个可能发现的世界的独特生态。随着你知识的增加，你的人民的热情也在增加，有一段时间似乎所有蜥蜴族的共同梦想都将实现。 如果不是因为你贪婪的敌人想要尽可能地扩大他们的领土，你的梦想很可能会成真。#你的殖民地已经被征服到只剩最后一个星球：你对你的生物群落的精心照料因为外太空敌人的到来而毁于一旦。当你的最后一个前哨基地在你周围燃烧，你的死亡将是不可避免的。战胜你的傻瓜如此盲目地占据了这些世界，他们能够与这些世界和谐相处吗？你不禁想到这个问题。这个问题的答案，让你不寒而栗、无法细想……
GAME_OVER_MILITARY_WIN2           | 世界的救赎就在眼前！#胜利！你们的人民和银河系中的所有行星取得了胜利！从蜥蜴族离开他们的星球寻找新的世界开始，你就知道你人民的愿望不会被拒绝。你们把宇宙的生态系统放在文明发展的重中之重，而你的对手们没有看到其中的智慧，这是他们的错误。他们甚至认为他们的力量足以阻止你实现目标，这是他们的愚蠢。#为了消除你的敌人们构成的威胁，你采取了最简单也最直接的做法，这个做法也避免了他们世界的生态遭受进一步地破坏。现在没有任何一个对手挡在你的面前，你有无限的时间来修复他们造成的损伤。你的人民就像一条流经宇宙的河流，每一个星球将在你们的引导下和平地进化。享受你辛勤劳动的胜利果实吧！并且期待前方道路上等待着蜥蜴族的挑战吧！

GAME_OVER_MILITARY_ALLIANCE_WIN2  | 世界的救赎就在眼前！#虽然不是你最希望看到的结局，但你也不禁对着来之不易的胜利微笑。你知道这个星系中会有其他种族，他们只会将他们的星球视为待开发的资源，而无视你的哲学智慧。你的人民准备为捍卫每个星球的神圣而战，无论它们有多小。现在你的敌人已经化为灰烬，你知道每个生态系统的微妙平衡永远不会受到那些心血来潮的伤害。#你很高兴找到能倾听并愿意接受你思考的盟友。他们选择接受并尊重你的教诲。令你惊讶的是，他们甚至与你一起拿起武器。虽然他们无疑是在捍卫自己的利益，但同时也在帮助你捍卫你的利益。现在，你可以致力于治愈战争对星球造成的伤害。随着时间的推移，你希望说服你的朋友也对他们的世界这样做……

GAME_OVER_COUNCIL_LOSS2           | 所有世界的命运都已终结……#你敌对帝国的阴谋导致了你的失败。当你在整个银河系中完善每个行星的生态系统时，你不可避免地会发现有的世界遥不可及，它们在其他文明的手中。通过外交和政治操纵，你当然能够获得拯救这些行星环境的能力，即使它们仍处于外星力量的控制之下，至少你是这么想的。#现在星际委员会已经解散，在[leader_empire]的领导下重组为新共和国。如果你无法说服其他帝国看到你的智慧，无疑会让你和你拼命想要拯救的世界付出代价。你只能希望新领导人对你的人民仁慈。不仅仅是为了他们，也是为了银河系中的每一颗行星……

