// 第1次校对：2021.12.15

// race-specific variables (must start with _)
_empire                           | 幽灵国, 萨洛克斯, 斯派洛克, 沙德洛克斯, 纳兹洛克
_race                             | 幽灵族, 萨洛克斯族, 斯派洛克族, 沙德洛克斯族, 纳兹洛克族
_race_plural                      | 幽灵族, 萨洛克斯族, 斯派洛克族, 沙德洛克斯族, 纳兹洛克族
_title                            | 统治者
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | 幽灵族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 我们已经完成了一对侦察机和一艘殖民飞船的建造。让我们祈祷我们寻求的答案会出现在附近的星球上。
MAIN_ADVISOR_TRANSPORT            | %1行星上没有我们要找的答案。但我们仍然应该尽可能地派遣更多人员到新的行星上，让它快速发展。
MAIN_ADVISOR_DIPLOMACY            | 这个行星的原住民代表揭示了自己的存在。我们必须尽我们所能去了解他们拥有的任何答案。

MAIN_ADVISOR_SHIP_ENGINE          | 我们发现了一种生产更高效引擎的方式。关于如何更新我们的飞船设计以利用这项新科技，我们需要达成一致。
MAIN_ADVISOR_RALLY_POINTS         | 不可避免的冲突出现了！我们的舰船工厂可以将新造的飞船派往一个指定的集结点，在那个星球我们的舰队可以集结起来抵御外敌。
MAIN_ADVISOR_MISSILE_BASES        | 来到这个世界时，我们已经损失了太多东西，我们不能损失更多了。请在我们的殖民地建造导弹基地吧，越多越好，让他们能保卫自己。
MAIN_ADVISOR_SHIP_WEAPON          | 我们发现了可以提高舰船进攻能力的新技术。我们必须再次决定如何更新我们的船舶设计，以尽快利用这个新技术。
MAIN_ADVISOR_COUNCIL              | 传闻一个叫做星际委员会的集会即将召开。情报部门认为这是一个获取尽可能多情报的机会。种族的未来指望这次会议了。
MAIN_ADVISOR_REBELLION            | %1的人疯掉了吗？他们忘了只有团结一致我们才能控制这个宇宙！我们必须拿这些反贼开刀，以儆效尤！
MAIN_ADVISOR_RESIST_COUNCIL       | 我们的成功率本来就非常低。跟星际委员会及其成员战斗，也不会让我们的成功率更低了。
MAIN_ADVISOR_COUNCIL_RESISTED     | 我们为了说服这些蠢货屈从于我们的利益已经花费了太多的时间。对我们领导的反抗是不可容忍的！立刻消灭他们！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你的追求结束了，你的种族结束了……#一场难以想象的悲剧降临在你的帝国身上。你的祖先为什么会将你们从那个濒死的宇宙中扔到这个新世界呢？你们种族迫切地想要揭开这个秘密。但远比你们强大得多的文明将你们彻底地打败。如果他们知道你的困境，他们可能会更加仁慈，甚至可能会向您提供帮助，或者至少对您用来达到目的的手段更加宽容。然而，当强者向他们命中注定的未来进军时，你只能接受自己的失败#哎，幽灵族，接受这个厄运吧！如果你以不同的方式出牌，你的人民可能还活着，甚至可能已经找到了那把钥匙，将你的种族带入更新、更稳定位面的钥匙。不过，也许你没有更好的出牌方式了：也许命运决定给你一手最不幸的牌……
GAME_OVER_MILITARY_WIN2           | 第一阶段结束，真正的考验开始了……#这个宇宙是您的！正如你们的人民统治了他们来自的宇宙一样，你们也粉碎了这个星系中微弱的反对派，并证明宇宙中的一切都是你们的。事实证明，您的计谋太强大，您的敌人无法匹敌，而您为获取他们的秘密而采用的情报战术更是让他们难以招架。现在，当敌人最后的据点在您的力量之下被摧毁时，您可以眺望散落在宇宙中的星星，这将成为幽灵族的永久家园。#但您的工作还没有接近完成。您已经学会了如何在这个位面中生活，并让整个银河系保持安全，让您的人民在其中繁衍。然而，最初将你们的种族带到这里的时空裂隙的秘密尚未被揭开，在这里度过的每一天都意味着你们的家园宇宙更接近于它不可避免的崩溃。如果被您摧毁的任何帝国已经掌握了打开时空裂隙的秘密，您的军事征服所导致的可能是您的自己的毁灭……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 第一阶段结束，真正的考验开始了……#现在是你第一个真正的胜利时刻！当你们的人民被扔进这个空间时，他们发现它很可怕、陌生和危险。但他们没有畏缩并竭尽全力维持生计，他们大胆地向前迈进，发誓要掌握这个星系的秘密，并确保将其余的人从他们垂死的位面带回来。一路上，你们碰到了敌人，也有了盟友，他们为幽灵族最大的挑战搭建了舞台。#与你的盟友一起，你成功地毁灭了那些反对你的人。现在只剩下你和你的亲密朋友。通过分享战争的战利品，你们建立了密切的关系。你会很高兴地帮助你的盟友减轻他们的负担，就像他们会帮助你一样。一旦你的人民安全地跨越次元，你真正的帝国将重生，只有那些证明自己忠于你事业的人才能生活在你的宇宙中……
GAME_OVER_COUNCIL_LOSS2           | 你的计谋挫败了，你的使命破灭了……#你的计划已经暴露在银河系中，虽然没有人在阴谋诡计上能比得上你，但事实证明，你的对手的眼睛太警惕了，你无法规避他们的审视。随着新共和国的建立和银河系未来的确定，委员会的投票毫无疑问会破坏你精心布置的计划。未来属于[leader_race]种族！#获得驾驭银河系的权力，这是一个雄心勃勃的目标。如果你的外交阴谋更加精妙，很可能整个银河系的意志都愿意为你服务。现在你将不得不服从[leader_race]种族的意志。每一天的流逝，都让那些被困在即将崩溃的宇宙中的族人们离毁灭更近一天……
