// 第1次校对：2021.12.15

// race-specific variables (must start with _)
_empire                           | 熊族帝国, 熊拉提帝国, 大熊帝国, 熊爪帝国, 灰熊帝国
_race                             | 熊族, 熊拉提族, 大熊族, 熊爪族, 灰熊族
_race_plural                      | 熊族, 熊拉提族, 大熊族, 熊爪族, 灰熊族
_title                            | 大祭司
_nameTitle                        | 大祭司


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 熊族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 大人，我们已经准备好了侦察机和殖民飞船。我们将在您的指挥下开始探索和殖民附近的星系。
MAIN_ADVISOR_TRANSPORT            | %1加入了帝国的版图！请下命令吧，我们将立刻派遣殖民者！
MAIN_ADVISOR_DIPLOMACY            | 大人，一个外星种族与我们的帝国取得了联系。将他们视为朋友还是敌人，完全由您自行决定。
MAIN_ADVISOR_SHIP_ENGINE          | 我们的科学家持续推动着技术的极限，这一次他们提高了发动机的速度。他们等待您对新的船舶设计做出决定。
MAIN_ADVISOR_RALLY_POINTS         | 一场光荣的战斗等待着我们！请使用集结点，让新建造的飞船到在集结点集合。
MAIN_ADVISOR_MISSILE_BASES        | 我们的殖民地等待您的命令，大人。开始建造导弹基地吧，帮助他们抵御敌人的攻击。
MAIN_ADVISOR_SHIP_WEAPON          | 研究人员为我们的舰队创造了毁灭性的新武器！大人，请在您有空的时候重新审视我们的飞船设计，以决定我们的敌人将如何在我们压倒性的力量面前屈服。
MAIN_ADVISOR_COUNCIL              | 大人，第一届星际委员会的代表将很快聚集。我们的外交官将遵循您的指示，以确保委员会的决定符合您的利益。
MAIN_ADVISOR_REBELLION            | 看来%1的人已经决定公然违抗您了，大人。是时候提醒他们为什么由您来领导帝国了！
MAIN_ADVISOR_RESIST_COUNCIL       | 只有您才能坐上银河系的宝座！在您取得应有的位置之前，我们不会压抑我们的嗜血欲望，大人！
MAIN_ADVISOR_COUNCIL_RESISTED     | 哈哈！这些人愚蠢到想要反对我们的统治。无论如何，这些小叛军都会被我们踩在脚下！

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 帝国的怒火已经熄灭。#你们人民的愤怒不足以抵抗不断增长的外星军事力量。尽管你们奋战到最后一名士兵，但熊族的历史篇章现在已经结束。曾经你是一个强大帝国的大主教，一个自豪的战士哲学家种族的领导者。他们将目光投向星星，寻找自己在宇宙中的位置，并与那些敢于反对它们的人进行对抗。现在你只是宇宙编年史中的一个名字，胜利者只会以这样的方式才会屈尊记住你。#也许，如果你知道等待你的人民的是什么，你就不会如此热切地冲向太空了。现在，你和你的人民所得到的，只有你那不幸的野心和糟糕执行的计划所带来的尘埃……
GAME_OVER_MILITARY_WIN2           | 帝国的怒火至高无上！#你现在已经实现了对每一个击败所有已知帝国的全面胜利。他们愚蠢地认为他们有能力对抗你的军事力量，结果却发现他们的舰队已经支离破碎，他们的人民四散奔逃，等待他们的是一个可耻的结局。他们难道没有意识到你心中的怒火吗？难道他们没有发现你的信念如此坚韧吗？现在没关系了，因为胜利者不需要关心失败者的想法。现在没有人可以挑战这样一个事实：你打败了所有挡在你面前的人。#很久以前，你的人民开始寻找他们在这个宇宙中的位置，你向他们展示了他们注定要统治整个银河系。胜利万岁，大主教！熊族帝国万岁！
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 现在没有人敢挑战你的怒火。#作为熊族帝国的大主教，你最大的担忧是：你在太空中遇到的那些人与你对未来的愿景格格不入，最终他们需要被摧毁。事实上，他们中的许多人证明了这种担忧是合理的，尽管他们都躺在了你为宇宙开拓的血腥道路之下。但是你已经找到了振作起来的理由，因为并不是你遇到的所有事情都如此令人不快，在这段漫长而动荡的旅程结束时，你找到了有能力的盟友。#也许，最终，你找到了更好的东西：你要与其他人分享这个宇宙。世界的恩赐是丰富的，你会在未来几个世纪里思考那些指导你盟友的哲学，当然，前提是他们仍然保持忠诚……
GAME_OVER_COUNCIL_LOSS2           | 帝国的怒火被熄灭了。#没有人可以用怯弱来形容你的努力。你的人民冒着巨大的危险，在宇宙深处扩张，为帝国占领新的世界。不行的是，你的力量并不足以抗衡外星种族的技术创新和外交手腕。你看不到战胜星际委员会的可能，于是你只能做出那个唯一的选择：服从新共和国的领导人，防止一场会给你和整个帝国带来厄运的战争。#虽然你的战士遭到了沉重的精神打击，但你知道自己的决定是正确的。至少，随着宇宙进入新的时代，你保证了你的人民的生存。任何另外的选项，都意味着无法想象的厄运……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 帝国的怒火畏缩了。#自从你带领你的人民离开他们的家园，希望帮助他们在银河系中找到自己的位置以来，发生了很多事情。你的胜利为你的人民带来了很多好处，许多土地被并入帝国的领土，以确保熊族有一个光明的未来。不幸的是，领导新共和国的终极奖励离你太远了，你在战场上的凶猛可能会激起太多的恐惧，让你无法实现你追求的目标。#但你没有完全失败：一个值得信赖的盟友将代替你领导委员会。他成功地说服其他帝国他们对未来的看法是正确的。虽然您的人民渴望将您视为这个新未来的统治者，但您知道您已经很好地选择了您的盟友：与%8一起，无论未来如何，您都将确保您的人民在这个星系中占有一席之地……
GAME_OVER_REBELLION_LOSS2         | 帝国的愤怒被熄灭了。#这个宇宙的战争已经结束。你的人民在其他帝国中以前所未有的怒火进行了艰苦的战斗，但最终他们的胜利可能是你失败的原因。你的人民的残暴战斗展示了你的特质。一个敌人被赋予了新共和国的管理权，因为他们让议会成员相信你太野蛮了，不值得信任。当%8银河系，除了拖延不可避免的事情之外，你别无他法。#熊族帝国最终在敌人面前倒下。你的领土被胜利者瓜分，你的遗迹和城市被粉碎成尘土，散落在历史的风中。你人民的英勇的最后一战，不太可能激起继承者后裔的恐惧。毕竟，胜利者最终决定历史将讲述什么样的故事……
GAME_OVER_REBELLION_WIN2          | 帝国的愤怒至高无上！#你终于来到了命运会带领你的地方：所有其他种族的彻底毁灭！你无与伦比的狂怒对你的敌人来说是无可抵抗的，他们胆怯地寻求与你结盟。他们希望他们的联合力量足以摧毁你，他们像害虫一样在群星间疾驰，企图将你的世界烧成灰烬。持有这种想法的人是愚蠢的，你已经向他们展示了他们的野心是多么徒劳。#看哪，大主教，一个属于你们的银河系。您的人民将在无人反对的情况下收获无数星球的财富。当你拥有了这个星系所能提供的一切之后，你就可以将你的力量引导到更远的星系……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 现在没有人敢挑战你的愤怒。#太阳从新共和国的余烬中升起，你占据了你从一开始就应该占据的位置。你以前的敌人一旦联合起来会如何行动是昭然若揭的，因为他们对你的恐惧如此之大，以至于他们在对你的力量的偏执中团结起来。你的反抗是正义的，因为这样一个伟大的战士种族像傻瓜一样卑躬屈膝和恳求是不可能的。你甚至说过，反对你的人，不管有多少，都只有厄运。如果那些傻瓜能听到你的话就好了！#然而，你并非没有怜悯。那些足够聪明与你结盟的人将享受美好未来的果实，他们的勇敢和智慧将在你的新帝国中得到尊重。他们是您仁慈的见证，他们再也不会畏惧任何敌人，当然，只要他们保持对熊族帝国的忠诚……
