// race-specific variables (must start with _)
_empire                    | 硅帝國, 火巖帝國, 賽德米德帝國, 花崗岩帝國, 岩漿帝國
_race                      | 硅人, 火巖人, 賽德米德人, 花崗岩人, 岩漿人
_race_plural               | 硅人, 火巖人, 賽德米德人, 花崗岩人, 岩漿人
_title                     | 水晶皇帝
_nameTitle                 | 水晶皇帝

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// 第1次校對：2021.12.18


// Advisor text
MAIN_ADVISOR_TITLE         | 硅人顧問
MAIN_ADVISOR_BUTTON_OK     | 好的
MAIN_ADVISOR_SCOUT         | 神皇，您的偵察機已經準備好探索附近的任何一個殖民地！請下命令！
MAIN_ADVISOR_TRANSPORT     | %1的殖民地已經以您的名義建立，強大的皇帝！如果您需要我們派遣更多殖民者以支持新殖民地，請下命令！
MAIN_ADVISOR_DIPLOMACY     | 神皇！一個來自外星帝國的使者出現在了王座前！這可能就是我們在尋找的死敵！我們要小心翼翼地跟他打交道！
MAIN_ADVISOR_SHIP_ENGINE   | 您的科學家已經完成了新的引擎！只能您確定了新的艦船設計方案，他們就會把新引擎安裝上去。
MAIN_ADVISOR_RALLY_POINTS  | 我們的聖戰終於開始了，神皇！請設置集結點，將您的艦船派往任何一個你所控制的世界，它們將保證敵人的滅亡！
MAIN_ADVISOR_MISSILE_BASES | 您的將軍建議在容易受到攻擊的殖民地建立導彈基地！如果您同意，神皇，建造會立刻開始！
MAIN_ADVISOR_SHIP_WEAPON   | 神皇！您的科學家報告了他們研發的最新武器！只能您下令，我們將在新的飛船上使用這些武器！
MAIN_ADVISOR_COUNCIL       | 一場被稱爲星際委員會的會議即將來臨！我們的宿敵肯定隱藏在聚集在那裏的人中！我們必須揭露他們，這樣我們崇高的聖戰才能真正開始！
MAIN_ADVISOR_REBELLION     | 強大的皇帝！難以想象的事情發生了。我們的人民，無疑受到了邪惡宿敵的蠱惑，選擇在%1行星發動了叛亂。我們必須立刻把他們消滅！
MAIN_ADVISOR_RESIST_COUNCIL   | 這些愚蠢的人啊！神皇，我們的艦隊已經準備就緒！帶領我們走向戰場的勝利吧！
MAIN_ADVISOR_COUNCIL_RESISTED | 我們敵人的後代當然不能接受[my_race]的統治！我們的人民陷入了瘋狂：預言終於應驗了！


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你的聖戰已經慘淡收場。#長壽的硅帝國中的每一個世界都被征服，更糟糕的是，他們是被奇怪的外星生物所征服。作爲水晶皇帝，你承諾帶領你的人民實現他們最古老、最神聖的預言：一勞永逸地清除銀河系裏邪惡的克拉隆後代。結果，你只是讓他們走向毀滅，隨着太陽從最後一個抵抗外星侵略者的硅人殖民地升起，留在這個星系中的帝國很快就會感受到你失敗的嚴重程度。#帝國已被永遠消滅。隨着你的人民消失，毫無疑問，克拉隆人邪惡的後代將統治這個宇宙，從現在起，直到到時間的盡頭……
GAME_OVER_MILITARY_WIN2           | 你的聖戰以至高無上的勝利結束！#因爲無法確認你最古老敵人的身份，你選擇了唯一可用的方案：無情地屠殺所有居住在這個銀河系中的人。沒有哪個種族能夠證明自己比你不屈不撓的熱情和不屈不撓的力量更勝一籌。每個種族都依次倒下，他們的世界現在已經從從任何可能的克拉隆污穢種解脫。爲了確保它們保持清潔，帝國將把每一個星球都納入其中，佔有並保護它們直到時間的盡頭。#你的帝國現在無疑將永遠持續下去，沒有人會再次反對你，因爲確實沒有人了！水晶皇帝萬歲！帝國萬歲！
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 你的聖戰終於收穫了果實。#雖然你無法確定克拉隆之子的真實身份，但一些居住在銀河系中的人能夠證明自己不太可能成爲你最討厭的敵人的後裔。那些做不到這一點的人，最終的命運是倒在你堅不可摧的艦隊手下。現在剩下的就是你和那些表現出忠誠和純潔的文明，銀河系是你的，你可以隨意處理。#唉，如果你對那些你允許活着的人的身份有誤判的話，你的聖戰可能有一天需要重新開始……
GAME_OVER_COUNCIL_LOSS2           | 你的聖戰已經慘淡收場。#在你穿越銀河系的旅程中，你打過仗，征服了世界，並與衆多外星文明結盟。然而，儘管你盡了最大的努力，你發現自己既無法說服散佈在宇宙中的帝國相信克拉隆的後代對他們構成的威脅，也無法使用強大的軍事力量來迫使他們遵守聖戰的原則。現在他們選擇了卑鄙的[leader_race]種族來帶領他們走向未來。#雖然他們希望未來能夠繁榮與和平，但只有你知道未來的真相。或許，在未來，另一位水晶皇帝會在你失敗的地方成功，有一天你的聖戰之火可能會再次燃燒……
GAME_OVER_REBELLION_LOSS2         | 你的聖戰已經慘淡收場。#隨着邪惡的[leader_race]種族領導下新共和國形成，你唯一可能的選擇是一場命運多舛的叛亂。爲了追求你的正義，戰爭是唯一的選擇。雖然在你所選擇的路線上從未充滿希望，但希望仍然存在。如果你的決定更加明智，也許你甚至已經沐浴在勝利的光芒中。#但沒有光留給你或帝國了。當%8銀河系，你最後想到的是克拉隆和他的後代們，你未能找到並摧毀他們。現在等待着這個銀河系的是殘酷的命運，你的人民不再能夠保衛它……
GAME_OVER_REBELLION_WIN2          | 你的聖戰以至高無上的勝利結束！#可悲的星際委員會做出了最愚蠢的選擇。他們在悲慘的[leader_race]種族的旗幟下團結起來。拒絕了你的聖戰之路後，他們自己和銀河系其他人的命運也被註定。但你，水晶皇帝，知道這是不能忍受的，你帶領你的人民在一場不可能的戰爭中戰勝了整個銀河系！#如果那羣傻瓜們聽從你的警告，也許他們會活着看到他們的錯誤。但是現在，銀河系終於可以享受真正的和平。向勝利致敬，水晶皇帝！爲硅帝國的強大而歡呼！
GAME_OVER_REBEL_ALLIANCE_WIN2     | 你的聖戰終於收穫了果實。#當你最後的敵人倒在你面前時，你終於感覺到聖戰開始以來你們取得的進展。居住在這個宇宙的可憐種族選擇[leader_race]種族來帶領他們，這是錯誤的。他們背棄了你的智慧，違背了你和克萊斯隆的預言：這是一種無法容忍的行爲。如果他們活得足夠長，他們無疑會後悔。#只有那些足夠聰明的人聽從了你的警告，並在你的戰爭中爲你提供幫助。現在你們可以陶醉在銀河系新發現的和平中，因爲你們一勞永逸地消除了克拉隆人的威脅。除非，你的盟友是僞裝起來的克拉隆的後代……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 你的聖戰以意想不到的方式結束。#硅帝國在整個銀河系的探索中做了很多工作。在您的領導下，您的人民遇到了無數外星文明。其中某些種族可能是克拉隆邪惡血液的攜帶者。然而出乎意料的是，另外一些種族已經證明自己是你們古老帝國的朋友。現在，在新共和國成立的前夕，你已經爲[leader_empire]投了票，讓他們統治銀河系，創造一個和平的新時代。#當你準備將未來讓給%8，你只希望他們的力量和智慧足以保護銀河系，免受你古代預言裏最大的敵人的荼毒。如果你判斷錯誤了，締結這個聯盟所承諾的和平將被證明是短暫的……
