// race-specific variables (must start with _)
_empire                           | 人類同盟, 地球人同盟, 泰拉同盟, 原人同盟, 智人同盟
_race                             | 人類, 地球人, 泰拉人, 原人, 智人
_race_plural                      | 人類, 地球人, 泰拉人, 原人, 智人
_title                            | 執政官
_nameTitle                        | 執政官

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//
// 第1次校對：2021.12.17

// Advisor text
MAIN_ADVISOR_TITLE                | 人類顧問
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 後勤部門彙報說兩個偵察機和一個殖民飛船已經可以服役。我建議我們儘快找到並殖民一個附近的行星。
MAIN_ADVISOR_TRANSPORT            | %1的殖民地創建已經完成。越多殖民者被派遣過去，%1就會越快成爲我們星際帝國的基石。
MAIN_ADVISOR_DIPLOMACY            | 執政官, 我很激動地確認我們與外星文明發生了第一次接觸！請務必查看我們的情報頁面，我們可以影響這些外星生命，讓他們爲我們的目標服務。
MAIN_ADVISOR_SHIP_ENGINE          | 我們的動力科學研究有了新成果，我們已經可以設計更先進的飛船。請將這個技術使用在我們未來的飛船裏。
MAIN_ADVISOR_RALLY_POINTS         | 我們的軍事力量已經爲了戰爭而動員起來，但我們需要更快地集合自己的軍隊。我建議使用集結點，讓未來的新艦船都自動開往集結點集合。
MAIN_ADVISOR_MISSILE_BASES        | 我們的戰略專家擔心領地邊緣星球的防禦能力。他們建議建造導彈基地來加強防禦。我同意他們的觀點。
MAIN_ADVISOR_SHIP_WEAPON          | 我們的最新研究已經實現武器技術的突破。你現在可以修改艦船設計，在未來的艦艇中使用新的武器。
MAIN_ADVISOR_COUNCIL              | 執政官！一個囊括所有星際帝國的會議將在5年後舉行。讓我們的外交官提高我們的形象吧，這會幫助我們在星際委員會中實現自己的目的。
MAIN_ADVISOR_REBELLION            | 我收到報告說%1正在發生叛亂。那麼多事情裏，竟然發生了叛亂！我們應該派遣地面部隊到這個殖民地，把局勢控制住。
MAIN_ADVISOR_RESIST_COUNCIL       | 看來這會是我們的決戰了，要麼輸，要麼贏。我希望過去的經歷能夠教會我們如何面對未來的一切……
