// race-specific variables (must start with _)
_empire                           | 梅科拉自治领, 梅卡娜自治领, 赛博自治领, 数码自治领, 科技自治领
_race                             | 梅科拉人, 梅卡娜人, 赛博人, 数码人, 科技人
_race_plural                      | 梅科拉人, 梅卡娜人, 赛博人, 数码人, 科技人
_title                            | 最高仲裁者
_nameTitle                        | 最高仲裁者

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
// 第1次校对：2021.12.18


// Advisor text
MAIN_ADVISOR_TITLE                | 梅科拉顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 舰队准备进行探索和殖民。等待指示中。
MAIN_ADVISOR_TRANSPORT            | 已立第1个殖民地。命名为"%1"，可再容纳%1人口，可从%3派遣殖民者。
MAIN_ADVISOR_DIPLOMACY            | 发现新物种。命名为“[alien_race]”。等待来自主机的进一步指示。
MAIN_ADVISOR_SHIP_ENGINE          | 对高级推进装置的研发已完成。请与工程师协商如何最好地部署新设计。
MAIN_ADVISOR_RALLY_POINTS         | 物种“[alien_race]”已开始阻止我们的永生探索。请创建集结点以集中舰队，并对其进行打击。
MAIN_ADVISOR_MISSILE_BASES        | 来自军事部门的要求：在行星地表建造防御性导弹基地，使其免受外部侵略。
MAIN_ADVISOR_SHIP_WEAPON          | 对高功率武器的研究已经完成。请与工程师协商如何部署新设计。
MAIN_ADVISOR_COUNCIL              | 星际帝国即将举行会议，会议名为“星际委员会”。代表会出席，确保主机的意志得以贯彻。
MAIN_ADVISOR_REBELLION            | 警告。恶意程序感染了%1。必须铲除其影响，以确保自治领的团结。
MAIN_ADVISOR_RESIST_COUNCIL       | 星际委员会的新领导人是对自治领目标的威胁。需动员一切力量消灭该领导人及其盟友。
MAIN_ADVISOR_COUNCIL_RESISTED     | 敌对物种发动叛乱。自治领已经统治已知星系。派遣所有舰队，让反对者噤声。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你痛苦地发现死亡是你的极限……#你的文明正处于毁灭之中，你的梦想没有实现。尽管你的生物技术无与伦比，但敌对帝国的外星生命有着你无法匹敌的力量。尽管你一再强调你的人民只想不被打扰地寻找永生之术，但你的竞争对手却竭尽全力挫败你的雄心壮志。他们选择阻碍你，无论是出于恐惧、还是出于狩猎的获取、又或是根本毫无理由。现在你的人民永远地消失了。#在另一个时间，另一个平行世界中，你的人民可能会找到他们所寻求的东西，进而变为可以体验永生之乐的民族。在那个永恒里，在那个现实中，当时间不再是他们的主人时，梅科拉人会解开宇宙和存在本身的秘密。然而，在这个现实里，你的人已经不复存在。主机在梅科隆星被销毁，无法再给出智慧的建议……
GAME_OVER_MILITARY_WIN2           | 对永生的探索再无阻碍#你们种族想要的只是不被打扰地追求永生的梦想。几个世纪前你们开始使用机械身体，这成为了梅科拉文明的驱动力。在主机看来，外星生命逐渐成为了你们追求过程中的威胁。当战争的决定做出时，你的军队毫不犹豫地动员了起来。你的敌人一个个倒下，直到再无敌人。#没有对手干扰你，也没有对手再向你隐藏秘密。你现在可以自在地追寻你的目标。宇宙蕴含着无限的资源，当你的文明扩散到宇宙的每一个角落时，这些资源会帮助你实现梦想。当你的人民最终完成他们已经开始了许久的任务，你们将永远享受整个宇宙的果实，永远……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 敌人被消灭后，你现在可以专注永生之路了……#“是什么原因促使这些生物向我们的人民开战？”主机思考着这个问题。主机和梅科拉人都疑惑着：为什么这些看上去智慧的生物会选择与你们为敌，以至于加速了他们的灭亡。就像你们文明的超级智慧所预言的那样，这些生物倒下了。#幸运的是，并不是每个种族都愚蠢地认为他们可以阻碍梅科拉人追求永生的道路。你与那些帮助你战斗的种族结成了盟友，让你们的敌人坠入无尽深渊。你现在很乐意向那些帮助过你的种族分享宇宙的资源和秘密。当你们发现永生之术的那一天终于来临，也许你们会很高兴地与盟友们分享这个技术。也许吧……
GAME_OVER_COUNCIL_LOSS2           | 你的探索陷入了危机……#你的对手们在不经意间阻碍了你。创造一个统一的星际共和国、在同一个旗帜下迈向未来，是确保全宇宙和平的最符合逻辑的做法。但你的人民发现永生之术的可能性已经无限趋近于0，因为盘根错节的官僚会毫无疑问阻碍你们的任何进步。曾经，当一个种族变成障碍时，你可以简单地将它消灭。但如今，你再也不敢这样做，否则整个宇宙的愤怒将降临到你头上。#更糟糕的是，梅科拉人的生存取决于你与[leader_race]的关系。他们成功地当选为了新共和国的领导者。任何让他们愤怒的行动，都会让你的计划变得更脆弱。他们的不满可能会导致对你们自由的限制和信息的获取。他们的愤怒则可能招致你和你种族的灭绝……
